Method,Mean Acc.,$C_1$,$C_2$,$C_3$,$C_4$,$C_5$
StudentExpert-num_train_gurus-2-num_test_gurus-2,$92.46 \pm 1.39$,$93.59 \pm 0.62$,$89.21 \pm 3.27$,$92.34 \pm 2.41$,$92.12 \pm 3.94$,$95.05 \pm 0.68$
GEM,$95.41 \pm 0.60$,$94.66 \pm 1.44$,$94.93 \pm 1.50$,$94.72 \pm 0.90$,$95.71 \pm 0.81$,$97.05 \pm 0.21$
Replay,$75.25 \pm 8.73$,$64.86 \pm 16.41$,$71.25 \pm 21.33$,$64.59 \pm 16.54$,$78.40 \pm 11.79$,$97.13 \pm 0.36$
AGEM,$71.56 \pm 8.97$,$58.86 \pm 18.34$,$68.97 \pm 22.83$,$60.29 \pm 18.55$,$72.61 \pm 15.25$,$97.08 \pm 0.28$
MIR,$61.97 \pm 11.91$,$44.83 \pm 24.31$,$57.07 \pm 32.44$,$48.97 \pm 23.19$,$61.83 \pm 22.91$,$97.15 \pm 0.31$
GDumb,$32.26 \pm 6.77$,$31.92 \pm 7.98$,$31.09 \pm 9.56$,$30.95 \pm 8.21$,$34.06 \pm 8.16$,$33.27 \pm 7.65$
CoPE,$11.35 \pm 4.18$,$12.89 \pm 5.43$,$10.47 \pm 5.37$,$11.67 \pm 5.04$,$11.32 \pm 3.71$,$10.42 \pm 4.67$
random_better-f1_score-num_gurus-2,$74.78 \pm 7.24$,$73.92 \pm 19.46$,$64.51 \pm 25.03$,$65.59 \pm 18.22$,$85.08 \pm 9.95$,$84.82 \pm 8.49$
LwF,$70.81 \pm 9.06$,$56.92 \pm 21.97$,$62.23 \pm 30.19$,$59.89 \pm 20.91$,$77.81 \pm 14.57$,$97.20 \pm 0.27$
RWalk,$67.77 \pm 9.77$,$53.48 \pm 21.63$,$62.51 \pm 28.99$,$54.77 \pm 21.32$,$71.48 \pm 16.10$,$96.61 \pm 0.39$
MAS,$65.78 \pm 7.57$,$62.66 \pm 19.10$,$58.79 \pm 21.73$,$51.29 \pm 17.00$,$72.80 \pm 13.26$,$83.38 \pm 4.10$
single_Net,$62.29 \pm 11.36$,$45.83 \pm 24.37$,$57.09 \pm 32.70$,$48.97 \pm 22.85$,$62.51 \pm 21.16$,$97.04 \pm 0.18$
SynapticIntelligence,$62.26 \pm 11.94$,$45.08 \pm 24.11$,$56.59 \pm 33.61$,$50.43 \pm 22.46$,$62.05 \pm 21.96$,$97.13 \pm 0.37$
TrainGeneratorAfterExp,$61.96 \pm 11.90$,$44.19 \pm 24.88$,$57.25 \pm 32.47$,$49.97 \pm 21.87$,$61.35 \pm 23.08$,$97.04 \pm 0.37$
LFL,$61.88 \pm 11.20$,$45.95 \pm 23.84$,$56.57 \pm 33.05$,$48.14 \pm 21.94$,$61.52 \pm 22.39$,$97.22 \pm 0.24$
EWC,$61.84 \pm 11.59$,$44.70 \pm 24.51$,$56.75 \pm 32.20$,$48.75 \pm 22.41$,$61.90 \pm 22.39$,$97.09 \pm 0.29$
full-ensemble,$59.42 \pm 11.86$,$42.10 \pm 25.15$,$54.10 \pm 33.59$,$45.58 \pm 22.74$,$59.09 \pm 23.05$,$96.23 \pm 0.44$
CWR,$55.00 \pm 8.06$,$65.32 \pm 16.09$,$43.12 \pm 19.88$,$43.83 \pm 14.78$,$62.34 \pm 17.54$,$60.40 \pm 13.44$
