ensemble_name,measure_name,mean_acc,Context 1,Context 2,Context 3,Context 4,Context 5
probabilistic_weighted-f1_score-num_gurus-3,experience_train_acc-mean,0.8735 (0.0034),0.9969 (0.0001),0.8542 (0.0005),0.8517 (0.0067),0.8647 (0.0014),0.7998 (0.0081)
StudentExpert-num_gurus_train-3-num_gurus_test-1,experience_train_acc-mean,0.8712 (0.0038),0.993 (0.0043),0.8534 (0.0047),0.8459 (0.0051),0.8875 (0.0038),0.776 (0.0013)
probabilistic_better-accuracy_score-num_gurus-2,experience_train_acc-mean,0.8698 (0.0131),0.9968 (0.0001),0.8459 (0.0098),0.8402 (0.0008),0.8643 (0.0201),0.8018 (0.0345)
StudentExpert-num_gurus_train-3-num_gurus_test-2,experience_train_acc-mean,0.8684 (0.0095),0.9951 (0.0019),0.8538 (0.0087),0.8561 (0.0048),0.8558 (0.0087),0.7814 (0.0235)
StudentExpert-num_gurus_train-4-num_gurus_test-1,experience_train_acc-mean,0.8683 (0.0044),0.9931 (0.0035),0.8636 (0.0093),0.857 (0.0056),0.8337 (0.0019),0.7941 (0.0018)
StudentExpert-num_gurus_train-4-num_gurus_test-2,experience_train_acc-mean,0.8673 (0.0098),0.9969 (0.0),0.8602 (0.0115),0.8567 (0.0004),0.8235 (0.0229),0.7994 (0.0142)
probabilistic_weighted-accuracy_score-num_gurus-3,experience_train_acc-mean,0.8672 (0.0057),0.9968 (0.0002),0.8424 (0.0123),0.8504 (0.0003),0.8556 (0.0126),0.7908 (0.003)
StudentExpert-num_gurus_train-1-num_gurus_test-2,experience_train_acc-mean,0.8667 (0.0142),0.997 (0.0002),0.823 (0.0171),0.8277 (0.0033),0.852 (0.0186),0.8339 (0.032)
probabilistic_weighted-accuracy_score-num_gurus-2,experience_train_acc-mean,0.8659 (0.0182),0.9968 (0.0002),0.8248 (0.0125),0.8465 (0.0023),0.8818 (0.0292),0.7797 (0.0467)
StudentExpert-num_gurus_train-3-num_gurus_test-3,experience_train_acc-mean,0.8659 (0.0086),0.9965 (0.0005),0.8438 (0.0073),0.8371 (0.0092),0.8584 (0.007),0.7938 (0.0188)
probabilistic_better-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.8653 (0.0059),0.997 (0.0002),0.8431 (0.0067),0.8581 (0.012),0.8693 (0.0084),0.7592 (0.0022)
random_better-f1_score-num_gurus-3,experience_train_acc-mean,0.865 (0.007),0.997 (0.0001),0.8355 (0.0014),0.8572 (0.0007),0.8562 (0.0267),0.7789 (0.0062)
random_better-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.864 (0.0085),0.9969 (0.0001),0.8107 (0.0104),0.8505 (0.0161),0.884 (0.0125),0.7781 (0.0036)
probabilistic_weighted-accuracy_score-num_gurus-1,experience_train_acc-mean,0.8625 (0.0136),0.997 (0.0),0.832 (0.0339),0.8112 (0.0191),0.8229 (0.0037),0.8492 (0.0115)
StudentExpert-num_gurus_train-3-num_gurus_test-4,experience_train_acc-mean,0.862 (0.0072),0.9968 (0.0002),0.845 (0.0022),0.8493 (0.0117),0.8455 (0.0105),0.7734 (0.0116)
probabilistic_better-accuracy_score-num_gurus-3,experience_train_acc-mean,0.8614 (0.0129),0.997 (0.0001),0.8241 (0.0131),0.8585 (0.0053),0.8568 (0.0096),0.7707 (0.0365)
probabilistic_weighted-f1_score-num_gurus-2,experience_train_acc-mean,0.8611 (0.0067),0.9971 (0.0002),0.8214 (0.0029),0.838 (0.0171),0.8475 (0.0016),0.8015 (0.0119)
random_better-balanced_accuracy_score-num_gurus-2,experience_train_acc-mean,0.8605 (0.0087),0.9968 (0.0),0.8182 (0.0255),0.8575 (0.0059),0.9017 (0.0039),0.7282 (0.008)
probabilistic_better-f1_score-num_gurus-4,experience_train_acc-mean,0.859 (0.0056),0.9968 (0.0001),0.8505 (0.0129),0.8452 (0.0087),0.8242 (0.0039),0.7783 (0.0023)
probabilistic_weighted-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8585 (0.0056),0.9969 (0.0001),0.845 (0.0014),0.8545 (0.0049),0.8293 (0.0048),0.767 (0.0167)
probabilistic_weighted-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.8569 (0.0082),0.9968 (0.0002),0.8396 (0.0042),0.8278 (0.0121),0.8538 (0.0056),0.7665 (0.0189)
probabilistic_better-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8563 (0.0044),0.997 (0.0002),0.8462 (0.0022),0.8598 (0.0038),0.8047 (0.0107),0.7738 (0.005)
StudentExpert-num_gurus_train-2-num_gurus_test-1,experience_train_acc-mean,0.8562 (0.0209),0.9959 (0.0004),0.8264 (0.0053),0.8701 (0.0121),0.8658 (0.0219),0.723 (0.0649)
probabilistic_weighted-f1_score-num_gurus-4,experience_train_acc-mean,0.8561 (0.0059),0.9969 (0.0),0.8527 (0.0012),0.8503 (0.005),0.8311 (0.0035),0.7493 (0.0198)
random_better-f1_score-num_gurus-4,experience_train_acc-mean,0.8554 (0.0128),0.9971 (0.0001),0.8404 (0.0106),0.8567 (0.0042),0.8239 (0.0253),0.7591 (0.0236)
StudentExpert-num_gurus_train-2-num_gurus_test-3,experience_train_acc-mean,0.8549 (0.0096),0.9964 (0.0003),0.8096 (0.0063),0.8582 (0.015),0.8166 (0.0206),0.7937 (0.006)
probabilistic_better-f1_score-num_gurus-2,experience_train_acc-mean,0.8539 (0.0098),0.9966 (0.0005),0.8549 (0.0044),0.8427 (0.0183),0.8692 (0.0038),0.7062 (0.022)
single_Net,experience_train_acc-mean,0.8531 (0.0136),0.9977 (0.0002),0.8984 (0.0068),0.8095 (0.0152),0.8074 (0.0302),0.7525 (0.0157)
StudentExpert-num_gurus_train-4-num_gurus_test-4,experience_train_acc-mean,0.8531 (0.0092),0.9971 (0.0001),0.8489 (0.0068),0.8614 (0.0059),0.8325 (0.013),0.7257 (0.0202)
probabilistic_better-accuracy_score-num_gurus-4,experience_train_acc-mean,0.8511 (0.0054),0.9968 (0.0002),0.8495 (0.0042),0.8448 (0.0012),0.8129 (0.0109),0.7517 (0.0104)
probabilistic_better-f1_score-num_gurus-3,experience_train_acc-mean,0.851 (0.0143),0.9968 (0.0002),0.8223 (0.0134),0.8364 (0.0075),0.8385 (0.0241),0.7608 (0.0261)
max_diversity-f1_score-num_gurus-1,experience_train_acc-mean,0.8505 (0.0078),0.9967 (0.0001),0.8089 (0.0005),0.8346 (0.0281),0.831 (0.0024),0.7814 (0.008)
random_better-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8505 (0.0062),0.9957 (0.0009),0.8526 (0.0028),0.8302 (0.01),0.8333 (0.0107),0.7405 (0.0068)
probabilistic_weighted-balanced_accuracy_score-num_gurus-2,experience_train_acc-mean,0.8503 (0.0153),0.9968 (0.0003),0.8466 (0.0045),0.8321 (0.0234),0.8729 (0.0231),0.703 (0.0254)
StudentExpert-num_gurus_train-4-num_gurus_test-3,experience_train_acc-mean,0.8503 (0.0095),0.9959 (0.0009),0.8623 (0.0021),0.8502 (0.0094),0.811 (0.0308),0.7321 (0.0044)
probabilistic_weighted-accuracy_score-num_gurus-4,experience_train_acc-mean,0.8496 (0.0052),0.9969 (0.0002),0.8473 (0.0031),0.8245 (0.0025),0.8283 (0.0025),0.7508 (0.0176)
StudentExpert-num_gurus_train-2-num_gurus_test-2,experience_train_acc-mean,0.849 (0.0307),0.9937 (0.0031),0.8188 (0.0319),0.8448 (0.0036),0.866 (0.0255),0.7217 (0.0893)
max_diversity-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.8459 (0.0152),0.9971 (0.0),0.7924 (0.0137),0.8615 (0.0074),0.8702 (0.0254),0.7083 (0.0296)
full-ensemble,experience_train_acc-mean,0.8449 (0.0054),0.9969 (0.0002),0.8662 (0.0017),0.7745 (0.0105),0.8244 (0.0104),0.7627 (0.0042)
random_better-accuracy_score-num_gurus-4,experience_train_acc-mean,0.8444 (0.007),0.9965 (0.0005),0.8252 (0.0091),0.8496 (0.0045),0.804 (0.0192),0.7468 (0.0019)
probabilistic_better-balanced_accuracy_score-num_gurus-2,experience_train_acc-mean,0.8432 (0.0175),0.997 (0.0003),0.8434 (0.0032),0.8518 (0.0015),0.8638 (0.0173),0.6601 (0.0653)
random_better-accuracy_score-num_gurus-3,experience_train_acc-mean,0.8431 (0.0128),0.9968 (0.0001),0.8193 (0.0173),0.8269 (0.0016),0.8066 (0.0389),0.7657 (0.006)
probabilistic_weighted-balanced_accuracy_score-num_gurus-1,experience_train_acc-mean,0.842 (0.0271),0.9963 (0.0003),0.8262 (0.0215),0.8343 (0.0003),0.7589 (0.0594),0.7945 (0.0541)
random_better-accuracy_score-num_gurus-2,experience_train_acc-mean,0.8413 (0.022),0.9966 (0.0),0.8262 (0.0017),0.8296 (0.0158),0.8692 (0.0063),0.6849 (0.086)
max_diversity-accuracy_score-num_gurus-3,experience_train_acc-mean,0.839 (0.0114),0.997 (0.0001),0.7553 (0.0088),0.8385 (0.014),0.8477 (0.026),0.7564 (0.008)
probabilistic_weighted-f1_score-num_gurus-1,experience_train_acc-mean,0.8375 (0.0132),0.997 (0.0),0.8025 (0.033),0.8138 (0.0062),0.7827 (0.0104),0.7915 (0.0162)
max_diversity-balanced_accuracy_score-num_gurus-2,experience_train_acc-mean,0.836 (0.0177),0.9968 (0.0002),0.7516 (0.0347),0.8303 (0.0264),0.8748 (0.0076),0.7264 (0.0196)
probabilistic_better-balanced_accuracy_score-num_gurus-1,experience_train_acc-mean,0.8341 (0.0196),0.997 (0.0001),0.791 (0.0226),0.8367 (0.0127),0.854 (0.0167),0.6917 (0.0457)
random_better-balanced_accuracy_score-num_gurus-1,experience_train_acc-mean,0.8338 (0.0258),0.9969 (0.0003),0.7882 (0.0204),0.7909 (0.0076),0.8041 (0.0438),0.7891 (0.0568)
max_diversity-balanced_accuracy_score-num_gurus-1,experience_train_acc-mean,0.8323 (0.0187),0.9969 (0.0001),0.7672 (0.0582),0.7723 (0.0128),0.8124 (0.008),0.8128 (0.0146)
