,measure_name,ensemble_name,results
0,full-ensemble,batch_test_acc-mean,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9648, 0.9648, 0.9453, 0.9531, 0.9609, 0.9688, 0.9531, 0.9844, 0.9609, 0.9766, 0.9492, 0.9805, 0.957, 0.9648, 0.9609, 0.9762]"
1,full-ensemble,batch_test_acc-std,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0195, 0.0195, 0.0, 0.0, 0.0, 0.0078, 0.0078, 0.0, 0.0078, 0.0156, 0.0039, 0.0117, 0.0117, 0.0195, 0.0156, 0.0079]"
2,full-ensemble,batch_train_acc-mean,"[0.9844, 0.9883, 0.9922, 0.9961, 0.9805, 1.0, 0.9961, 0.9961, 0.9961, 0.9922, 0.9961, 0.9961, 0.9922, 0.9922, 0.9961, 0.9961, 1.0, 0.9922, 1.0, 0.9961, 0.9961, 0.9961, 1.0, 0.9961, 0.9961, 0.9961, 1.0, 1.0, 1.0, 0.9961, 0.9961, 0.9961, 1.0, 1.0, 1.0, 0.9844, 1.0, 0.9922, 0.9961, 1.0, 0.9922, 1.0, 1.0, 0.9961, 0.9961, 0.9922, 0.9922, 0.9961, 0.9961, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9922, 1.0, 0.9961, 1.0, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9922, 0.9961, 0.9961, 1.0, 1.0, 0.9961, 1.0, 0.9961, 1.0, 0.9961, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875, 0.5977, 0.7969, 0.8945, 0.9102, 0.8789, 0.8945, 0.8867, 0.8672, 0.8867, 0.8867, 0.9375, 0.9336, 0.9336, 0.918, 0.9141, 0.9453, 0.9297, 0.9453, 0.9258, 0.9062, 0.9102, 0.9453, 0.9531, 0.9375, 0.9492, 0.9531, 0.9336, 0.9688, 0.9688, 0.9609, 0.9531, 0.9492, 0.957, 0.9609, 0.9648, 0.9609, 0.9453, 0.918, 0.9531, 0.9492, 0.9531, 0.9531, 0.9648, 0.9531, 0.9766, 0.9648, 0.9727, 0.9492, 0.9414, 0.9648, 0.9609, 0.9453, 0.9727, 0.9609, 0.957, 0.9727, 0.9453, 0.9727, 0.9766, 0.9688, 0.9727, 0.957, 0.9492, 0.9648, 0.9609, 0.9727, 0.9648, 0.9727, 0.9648, 0.9688, 0.9414, 0.9414, 0.9609, 0.9805, 0.9609, 0.9766, 0.9844, 0.9688, 0.9609, 0.957, 0.9844, 0.957, 0.9648, 0.9805, 0.9844, 0.9688, 0.9737, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0781, 0.2539, 0.5352, 0.6914, 0.6758, 0.625, 0.6172, 0.6328, 0.6875, 0.6797, 0.75, 0.7617, 0.8047, 0.8359, 0.8867, 0.8477, 0.8672, 0.8867, 0.8828, 0.9297, 0.9102, 0.8945, 0.9375, 0.9648, 0.9453, 0.9453, 0.9414, 0.9688, 0.9688, 0.9492, 0.957, 0.957, 0.9688, 0.9492, 0.9648, 0.957, 0.9609, 0.9648, 0.9609, 0.9414, 0.9453, 0.9492, 0.9688, 0.9805, 0.9922, 0.9727, 0.9727, 0.9766, 0.9844, 0.9648, 0.9766, 0.9727, 0.9727, 0.9844, 0.9727, 0.9805, 0.9688, 0.9688, 0.9766, 0.9844, 0.9844, 0.9766, 0.9883, 0.9727, 0.9609, 0.9766, 0.9922, 0.9961, 0.9961, 0.9844, 0.9883, 0.9805, 0.9844, 0.9883, 0.9844, 0.9961, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0117, 0.1055, 0.3398, 0.6016, 0.7969, 0.8906, 0.9375, 0.9453, 0.9688, 0.9844, 0.9883, 0.9883, 0.9766, 0.9883, 0.9961, 0.9922, 0.9922, 0.9922, 1.0, 0.9883, 0.9922, 0.9844, 1.0, 0.9844, 0.9922, 1.0, 0.9883, 0.9961, 0.9922, 0.9961, 0.9961, 1.0, 1.0, 0.9922, 0.9883, 0.9844, 0.9922, 1.0, 0.9961, 0.9961, 0.9961, 0.9961, 1.0, 0.9961, 0.9883, 0.9883, 0.9961, 1.0, 0.9844, 0.9922, 0.9961, 0.9922, 0.9961, 0.9961, 0.9883, 0.9961, 0.9922, 0.9922, 0.9961, 0.9922, 1.0, 0.9922, 0.9961, 0.9922, 1.0, 0.9922, 0.9922, 0.9961, 1.0, 0.9961, 0.9961, 0.9922, 0.9961, 0.9961, 0.9961, 0.9961, 0.9961, 0.9961, 1.0, 1.0, 0.9961, 0.9922, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.1406, 0.1875, 0.4297, 0.7305, 0.8711, 0.8711, 0.8984, 0.9531, 0.9414, 0.9453, 0.9297, 0.9375, 0.9258, 0.957, 0.9531, 0.9492, 0.9492, 0.9453, 0.9375, 0.9297, 0.9258, 0.9453, 0.9453, 0.9297, 0.9531, 0.9531, 0.9492, 0.9414, 0.957, 0.9414, 0.9258, 0.9453, 0.9609, 0.9453, 0.9688, 0.957, 0.9492, 0.9336, 0.957, 0.918, 0.9766, 0.9766, 0.9727, 0.9727, 0.9688, 0.9258, 0.9609, 0.9375, 0.9727, 0.9414, 0.9688, 0.9648, 0.9492, 0.9688, 0.9727, 0.9609, 0.957, 0.9414, 0.9609, 0.9766, 0.9453, 0.9531, 0.9805, 0.9531, 0.9766, 0.9531, 0.9609, 0.957, 0.9609, 0.9531, 0.9727, 0.9766, 0.9688, 0.9609, 0.9805, 0.9609, 1.0]"
3,full-ensemble,batch_train_acc-std,"[0.0078, 0.0117, 0.0, 0.0039, 0.0117, 0.0, 0.0039, 0.0039, 0.0039, 0.0078, 0.0039, 0.0039, 0.0078, 0.0, 0.0039, 0.0039, 0.0, 0.0078, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0156, 0.0, 0.0078, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0078, 0.0078, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0078, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703, 0.1289, 0.0078, 0.0039, 0.0195, 0.0039, 0.0273, 0.0273, 0.0547, 0.0039, 0.0195, 0.0234, 0.0195, 0.0273, 0.0039, 0.0234, 0.0078, 0.0312, 0.0156, 0.0273, 0.0312, 0.0039, 0.0234, 0.0078, 0.0156, 0.0117, 0.0, 0.0117, 0.0078, 0.0078, 0.0156, 0.0078, 0.0273, 0.0273, 0.0078, 0.0195, 0.0156, 0.0078, 0.0039, 0.0078, 0.0117, 0.0, 0.0078, 0.0039, 0.0391, 0.0078, 0.0039, 0.0039, 0.0039, 0.0117, 0.0039, 0.0078, 0.0234, 0.0195, 0.0156, 0.0039, 0.0195, 0.0078, 0.0117, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0117, 0.0234, 0.0039, 0.0117, 0.0195, 0.0117, 0.0, 0.0117, 0.0117, 0.0156, 0.0039, 0.0156, 0.0, 0.0, 0.0078, 0.0078, 0.0117, 0.0078, 0.0039, 0.0117, 0.0039, 0.0078, 0.0156, 0.0263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0469, 0.0039, 0.0117, 0.0977, 0.1211, 0.0859, 0.1016, 0.1016, 0.1094, 0.0938, 0.0938, 0.0898, 0.0625, 0.0703, 0.0039, 0.043, 0.0, 0.0039, 0.0156, 0.0078, 0.0117, 0.0273, 0.0078, 0.0039, 0.0078, 0.0391, 0.0117, 0.0078, 0.0078, 0.0039, 0.0195, 0.0117, 0.0156, 0.0039, 0.0117, 0.0195, 0.0078, 0.0273, 0.0156, 0.0117, 0.0078, 0.0195, 0.0078, 0.0039, 0.0078, 0.0117, 0.0117, 0.0078, 0.0078, 0.0039, 0.0078, 0.0039, 0.0117, 0.0, 0.0117, 0.0117, 0.0, 0.0078, 0.0156, 0.0, 0.0078, 0.0156, 0.0039, 0.0117, 0.0156, 0.0, 0.0078, 0.0039, 0.0039, 0.0156, 0.0039, 0.0117, 0.0156, 0.0039, 0.0078, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0117, 0.1055, 0.293, 0.2422, 0.1641, 0.0859, 0.0469, 0.0312, 0.0, 0.0, 0.0039, 0.0117, 0.0078, 0.0039, 0.0039, 0.0078, 0.0078, 0.0078, 0.0, 0.0039, 0.0078, 0.0, 0.0, 0.0078, 0.0078, 0.0, 0.0039, 0.0039, 0.0078, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0078, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0078, 0.0078, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0078, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.1406, 0.1797, 0.1719, 0.0195, 0.0195, 0.0352, 0.0156, 0.0234, 0.0117, 0.0312, 0.0234, 0.0234, 0.0352, 0.0273, 0.0234, 0.0117, 0.0195, 0.0234, 0.0078, 0.0078, 0.0039, 0.0078, 0.0156, 0.0156, 0.0234, 0.0, 0.0195, 0.0117, 0.0195, 0.0117, 0.0195, 0.0078, 0.0078, 0.0078, 0.0078, 0.0195, 0.0039, 0.0039, 0.0195, 0.0195, 0.0156, 0.0, 0.0117, 0.0117, 0.0, 0.0039, 0.0, 0.0, 0.0117, 0.0039, 0.0156, 0.0273, 0.0273, 0.0156, 0.0039, 0.0078, 0.0039, 0.0195, 0.0078, 0.0078, 0.0312, 0.0078, 0.0117, 0.0156, 0.0, 0.0, 0.0312, 0.0195, 0.0078, 0.0078, 0.0039, 0.0156, 0.0, 0.0078, 0.0039, 0.0078, 0.0]"
4,full-ensemble,experience_test_acc-mean,"[0.0, 0.0, 0.0, 0.0, 0.9638]"
5,full-ensemble,experience_test_acc-std,"[0.0, 0.0, 0.0, 0.0, 0.0005]"
6,full-ensemble,experience_train_acc-mean,"[0.9969, 0.8662, 0.7745, 0.8244, 0.7627]"
7,full-ensemble,experience_train_acc-std,"[0.0002, 0.0017, 0.0105, 0.0104, 0.0042]"
8,random_better-accuracy_score-num_gurus-1,batch_test_acc-mean,"[0.0, 0.418, 0.4219, 0.4219, 0.4453, 0.418, 0.4141, 0.3789, 0.4258, 0.4023, 0.4336, 0.3906, 0.4453, 0.4141, 0.418, 0.4297, 0.3955, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5039, 0.5, 0.4883, 0.5039, 0.5, 0.5039, 0.5, 0.5039, 0.4961, 0.5156, 0.5039, 0.4961, 0.4922, 0.5, 0.4878, 0.0781, 0.082, 0.0586, 0.0859, 0.0742, 0.0586, 0.0977, 0.0898, 0.0664, 0.0859, 0.1016, 0.0938, 0.0742, 0.0898, 0.1016, 0.0909, 0.5039, 0.5195, 0.5156, 0.5039, 0.5195, 0.4844, 0.5, 0.5156, 0.5234, 0.5352, 0.5234, 0.5312, 0.5156, 0.4961, 0.4961, 0.5476]"
9,random_better-accuracy_score-num_gurus-1,batch_test_acc-std,"[0.0, 0.3945, 0.375, 0.3672, 0.3828, 0.3711, 0.375, 0.3398, 0.3711, 0.3633, 0.4102, 0.3438, 0.4062, 0.375, 0.3711, 0.3984, 0.3209, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.457, 0.4688, 0.4805, 0.4727, 0.4531, 0.457, 0.4375, 0.457, 0.4727, 0.4609, 0.4727, 0.457, 0.4688, 0.4766, 0.4512, 0.0781, 0.082, 0.0586, 0.0859, 0.0742, 0.0586, 0.0977, 0.0898, 0.0664, 0.0859, 0.1016, 0.0938, 0.0742, 0.0898, 0.1016, 0.0909, 0.4414, 0.457, 0.4297, 0.4336, 0.4492, 0.4531, 0.4453, 0.4609, 0.4297, 0.457, 0.4219, 0.4531, 0.4531, 0.4336, 0.457, 0.4206]"
