ensemble_name,measure_name,mean_acc,Context 1,Context 2,Context 3,Context 4,Context 5
StudentExpert-num_gurus_train-2-num_gurus_test-1,experience_train_acc-mean,0.8785 (0.0131),0.9963 (0.0003),0.8449 (0.0108),0.8551 (0.0006),0.8629 (0.0273),0.8334 (0.0265)
StudentExpert-num_gurus_train-2-num_gurus_test-2,experience_train_acc-mean,0.875 (0.0071),0.9966 (0.0002),0.8279 (0.002),0.8527 (0.0004),0.8674 (0.0187),0.8304 (0.0143)
StudentExpert-num_gurus_train-4-num_gurus_test-1,experience_train_acc-mean,0.8719 (0.0122),0.9964 (0.0006),0.8502 (0.0082),0.8757 (0.0008),0.8178 (0.0097),0.8196 (0.0418)
StudentExpert-num_gurus_train-4-num_gurus_test-2,experience_train_acc-mean,0.871 (0.0049),0.9963 (0.0008),0.8453 (0.0005),0.867 (0.0061),0.8516 (0.0138),0.795 (0.0031)
StudentExpert-num_gurus_train-3-num_gurus_test-3,experience_train_acc-mean,0.8694 (0.0093),0.9967 (0.0),0.8458 (0.0092),0.8508 (0.0066),0.8683 (0.0199),0.7855 (0.0107)
StudentExpert-num_gurus_train-3-num_gurus_test-1,experience_train_acc-mean,0.8657 (0.0167),0.9944 (0.0023),0.8538 (0.0083),0.8457 (0.0018),0.8682 (0.0158),0.7665 (0.0553)
single_Net,experience_train_acc-mean,0.8638 (0.0088),0.9976 (0.0003),0.9068 (0.0046),0.8163 (0.0157),0.8238 (0.0091),0.7747 (0.0141)
StudentExpert-num_gurus_train-4-num_gurus_test-4,experience_train_acc-mean,0.8623 (0.0176),0.9961 (0.0008),0.8514 (0.0045),0.86 (0.0004),0.8024 (0.0288),0.8014 (0.0535)
StudentExpert-num_gurus_train-3-num_gurus_test-2,experience_train_acc-mean,0.8605 (0.0155),0.9966 (0.0003),0.8363 (0.0148),0.8388 (0.0045),0.8754 (0.0143),0.7556 (0.0436)
StudentExpert-num_gurus_train-4-num_gurus_test-3,experience_train_acc-mean,0.8598 (0.0057),0.9959 (0.0012),0.8438 (0.0015),0.8623 (0.0183),0.8224 (0.0042),0.7744 (0.0034)
StudentExpert-num_gurus_train-2-num_gurus_test-3,experience_train_acc-mean,0.8574 (0.0096),0.9957 (0.0005),0.8314 (0.0026),0.8453 (0.0027),0.8452 (0.0105),0.7696 (0.0315)
StudentExpert-num_gurus_train-2-num_gurus_test-4,experience_train_acc-mean,0.8517 (0.0168),0.9952 (0.0014),0.7912 (0.0138),0.8324 (0.0158),0.8373 (0.0126),0.8024 (0.0404)
StudentExpert-num_gurus_train-1-num_gurus_test-3,experience_train_acc-mean,0.8507 (0.0157),0.994 (0.0029),0.7813 (0.0403),0.8133 (0.0034),0.8717 (0.0116),0.7932 (0.0202)
StudentExpert-num_gurus_train-3-num_gurus_test-4,experience_train_acc-mean,0.8504 (0.0065),0.9951 (0.0015),0.7931 (0.0044),0.8361 (0.0068),0.8483 (0.0092),0.7793 (0.0104)
max_diversity-accuracy_score-num_gurus-3,experience_train_acc-mean,0.846 (0.012),0.9967 (0.0001),0.7776 (0.0074),0.848 (0.0027),0.8545 (0.0247),0.7533 (0.0251)
StudentExpert-num_gurus_train-1-num_gurus_test-1,experience_train_acc-mean,0.8379 (0.0322),0.9949 (0.002),0.7774 (0.0433),0.8188 (0.0223),0.857 (0.0439),0.7413 (0.0496)
full-ensemble,experience_train_acc-mean,0.8204 (0.0031),0.9969 (0.0002),0.8697 (0.0021),0.7326 (0.0043),0.7863 (0.0041),0.7164 (0.0049)
max_diversity-accuracy_score-num_gurus-4,experience_train_acc-mean,0.8187 (0.0182),0.9968 (0.0005),0.8122 (0.0161),0.8123 (0.0154),0.796 (0.0222),0.6764 (0.0367)
StudentExpert-num_gurus_train-1-num_gurus_test-2,experience_train_acc-mean,0.8185 (0.0359),0.9953 (0.0009),0.7701 (0.0286),0.817 (0.0367),0.8559 (0.0059),0.6543 (0.1073)
max_diversity-accuracy_score-num_gurus-1,experience_train_acc-mean,0.8148 (0.0339),0.9967 (0.0003),0.7251 (0.1001),0.7754 (0.013),0.7753 (0.038),0.8015 (0.0179)
StudentExpert-num_gurus_train-1-num_gurus_test-4,experience_train_acc-mean,0.8143 (0.0142),0.9962 (0.0001),0.7513 (0.0366),0.7571 (0.0248),0.8287 (0.0051),0.738 (0.0045)
max_diversity-accuracy_score-num_gurus-2,experience_train_acc-mean,0.7997 (0.0224),0.9967 (0.0),0.7698 (0.0451),0.8093 (0.0012),0.736 (0.0334),0.6868 (0.0325)
CWR,experience_train_acc-mean,0.6591 (0.039),0.9201 (0.0172),0.6017 (0.0379),0.5889 (0.0631),0.628 (0.0393),0.5569 (0.0377)
Replay,experience_train_acc-mean,0.6244 (0.0382),0.9272 (0.02),0.777 (0.0206),0.5662 (0.0348),0.5046 (0.0797),0.3469 (0.0358)
RWalk,experience_train_acc-mean,0.6163 (0.0318),0.9482 (0.0139),0.5914 (0.0072),0.4793 (0.0123),0.571 (0.0466),0.4914 (0.079)
EWC,experience_train_acc-mean,0.6155 (0.0331),0.9444 (0.0207),0.6573 (0.0116),0.6368 (0.0214),0.4597 (0.0692),0.3792 (0.0426)
MAS,experience_train_acc-mean,0.6034 (0.0819),0.9057 (0.0718),0.2409 (0.1547),0.5812 (0.0564),0.6733 (0.0578),0.6159 (0.069)
TrainGeneratorAfterExp,experience_train_acc-mean,0.5249 (0.0801),0.9437 (0.0135),0.6232 (0.0044),0.4843 (0.1215),0.3725 (0.0606),0.2006 (0.2006)
SynapticIntelligence,experience_train_acc-mean,0.5236 (0.0533),0.9537 (0.0066),0.6089 (0.0865),0.5413 (0.0389),0.4195 (0.0861),0.0947 (0.0486)
LwF,experience_train_acc-mean,0.5205 (0.0251),0.9415 (0.0131),0.603 (0.0095),0.5375 (0.0541),0.4692 (0.0302),0.0511 (0.0184)
AGEM,experience_train_acc-mean,0.4029 (0.0727),0.9173 (0.0007),0.415 (0.1891),0.404 (0.1522),0.2769 (0.0205),0.0011 (0.0011)
GEM,experience_train_acc-mean,0.3856 (0.02),0.8578 (0.0151),0.5163 (0.0502),0.4141 (0.0203),0.1267 (0.0013),0.0133 (0.0133)
MIR,experience_train_acc-mean,0.3581 (0.0452),0.9244 (0.0295),0.6005 (0.0056),0.1889 (0.1235),0.0768 (0.0675),0.0 (0.0)
LFL,experience_train_acc-mean,0.2013 (0.0641),0.5454 (0.0586),0.0 (0.0),0.0681 (0.0681),0.0318 (0.0318),0.3614 (0.162)
GDumb,experience_train_acc-mean,0.1665 (0.0605),0.255 (0.24),0.22 (0.03),0.15 (0.025),0.11 (0.005),0.0975 (0.0025)
CoPE,experience_train_acc-mean,0.1102 (0.1021),0.1016 (0.0781),0.1998 (0.1872),0.0978 (0.0978),0.1129 (0.1129),0.0388 (0.0343)
