,measure_name,ensemble_name,results
0,full-ensemble,batch_test_acc-mean,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.957, 0.9375, 0.9609, 0.9727, 0.9609, 0.9609, 0.9609, 0.9648, 0.9727, 0.9609, 0.9766, 0.9844, 0.9648, 0.9805, 0.9844, 0.9286]"
1,full-ensemble,batch_test_acc-std,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0117, 0.0078, 0.0078, 0.0039, 0.0078, 0.0, 0.0, 0.0039, 0.0039, 0.0234, 0.0, 0.0, 0.0117, 0.0039, 0.0, 0.0397]"
2,full-ensemble,batch_train_acc-mean,"[0.9922, 0.9961, 1.0, 1.0, 1.0, 1.0, 0.9922, 0.9961, 0.9961, 1.0, 1.0, 0.9961, 0.9961, 1.0, 0.9922, 0.9844, 0.9961, 1.0, 1.0, 0.9961, 0.9961, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 0.9883, 0.9961, 1.0, 0.9961, 0.9961, 1.0, 0.9961, 0.9961, 0.9922, 0.9961, 0.9961, 0.9922, 0.9961, 0.9922, 0.9961, 0.9961, 0.9961, 1.0, 0.9961, 0.9922, 0.9922, 1.0, 0.9961, 0.9961, 1.0, 0.9922, 1.0, 0.9922, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9922, 1.0, 0.9922, 0.9961, 0.9922, 1.0, 0.9961, 1.0, 0.9961, 0.9961, 0.9961, 0.9961, 0.9883, 0.9961, 0.9961, 1.0, 1.0, 1.0, 0.9922, 1.0, 1.0, 0.9961, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0156, 0.3125, 0.6953, 0.8477, 0.8516, 0.8555, 0.8906, 0.8906, 0.8945, 0.9023, 0.9102, 0.9062, 0.9062, 0.9219, 0.9375, 0.9492, 0.9219, 0.9219, 0.9141, 0.9258, 0.9336, 0.9336, 0.9414, 0.9531, 0.9375, 0.9531, 0.957, 0.9492, 0.9453, 0.9453, 0.9375, 0.9375, 0.9727, 0.9375, 0.9492, 0.957, 0.957, 0.9531, 0.9492, 0.9688, 0.9492, 0.9609, 0.957, 0.9453, 0.9648, 0.9492, 0.9609, 0.9688, 0.9531, 0.9727, 0.9648, 0.9414, 0.9609, 0.9688, 0.957, 0.957, 0.9688, 0.9805, 0.9844, 0.9648, 0.9609, 0.9531, 0.9453, 0.9688, 0.9688, 0.957, 0.9688, 0.9766, 0.9727, 0.9727, 0.9727, 0.9766, 0.9531, 0.9766, 0.957, 0.9688, 0.9531, 0.9727, 0.9648, 0.9727, 0.9727, 0.9844, 0.9609, 0.9844, 0.9609, 0.9609, 0.9766, 0.9688, 0.9737, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0234, 0.2188, 0.4102, 0.4805, 0.5273, 0.5312, 0.5703, 0.543, 0.5234, 0.5391, 0.4844, 0.5469, 0.5391, 0.5469, 0.543, 0.5469, 0.6562, 0.6445, 0.7305, 0.8594, 0.8984, 0.9102, 0.9336, 0.957, 0.9297, 0.9258, 0.957, 0.9297, 0.9609, 0.9492, 0.9727, 0.9297, 0.9453, 0.9492, 0.9609, 0.9531, 0.957, 0.9688, 0.957, 0.9492, 0.9688, 0.9688, 0.9727, 0.9805, 0.9648, 0.9453, 0.9609, 0.9531, 0.9648, 0.9688, 0.9805, 0.9688, 0.9805, 0.9805, 0.9883, 0.9766, 0.9766, 0.9688, 0.9805, 0.9688, 0.957, 0.9883, 0.9844, 0.9805, 0.957, 0.9805, 0.9805, 0.9844, 0.9844, 0.9883, 0.9922, 0.9844, 0.9766, 0.9922, 0.9727, 0.9803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0508, 0.207, 0.3125, 0.5, 0.5977, 0.7734, 0.8594, 0.8828, 0.8867, 0.9492, 0.9883, 0.9844, 0.9844, 0.9648, 0.9844, 0.9727, 0.9844, 0.9844, 0.9922, 0.9922, 0.9922, 0.9805, 0.9922, 1.0, 0.9883, 0.9922, 0.9922, 0.9961, 0.9922, 1.0, 0.9883, 0.9922, 0.9961, 0.9922, 0.9922, 0.9922, 0.9805, 1.0, 0.9922, 0.9922, 1.0, 0.9883, 0.9961, 0.9883, 1.0, 0.9844, 0.9961, 1.0, 0.9844, 1.0, 1.0, 0.9922, 0.9961, 1.0, 0.9883, 1.0, 0.9844, 1.0, 1.0, 0.9961, 0.9922, 0.9961, 0.9844, 0.9961, 0.9961, 0.9961, 1.0, 0.9883, 0.9922, 0.9961, 1.0, 0.9922, 1.0, 1.0, 1.0, 0.9883, 0.9961, 1.0, 1.0, 0.9783, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0117, 0.1289, 0.3242, 0.4883, 0.6836, 0.8008, 0.8672, 0.8945, 0.8828, 0.8633, 0.9023, 0.8594, 0.8633, 0.8789, 0.875, 0.8594, 0.8555, 0.8945, 0.8867, 0.8828, 0.8867, 0.9102, 0.9023, 0.8672, 0.9062, 0.8633, 0.9258, 0.8906, 0.8594, 0.9219, 0.9297, 0.957, 0.9336, 0.918, 0.9688, 0.957, 0.957, 0.9141, 0.9609, 0.9609, 0.9453, 0.9492, 0.9531, 0.9688, 0.9688, 0.9492, 0.9648, 0.9688, 0.9531, 0.9492, 0.9375, 0.9492, 0.9609, 0.957, 0.9492, 0.9648, 0.9531, 0.9492, 0.9414, 0.9492, 0.9727, 0.9453, 0.957, 0.9531, 0.957, 0.9844, 0.9648, 0.9375, 0.9492, 0.957, 0.9727, 0.9688, 0.9766, 0.9688, 0.9792]"
3,full-ensemble,batch_train_acc-std,"[0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0078, 0.0078, 0.0039, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0117, 0.0039, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0039, 0.0039, 0.0078, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0078, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0039, 0.0078, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0938, 0.0234, 0.0508, 0.0234, 0.082, 0.0078, 0.0312, 0.0195, 0.0352, 0.0117, 0.0156, 0.0078, 0.0156, 0.0078, 0.0039, 0.0234, 0.0078, 0.0156, 0.0195, 0.0039, 0.0117, 0.0117, 0.0156, 0.0234, 0.0078, 0.0039, 0.0039, 0.0078, 0.0, 0.0234, 0.0156, 0.0039, 0.0156, 0.0117, 0.0039, 0.0039, 0.0156, 0.0039, 0.0156, 0.0273, 0.0156, 0.0117, 0.0156, 0.0117, 0.0195, 0.0, 0.0078, 0.0156, 0.0039, 0.0195, 0.0039, 0.0156, 0.0234, 0.0039, 0.0039, 0.0, 0.0039, 0.0078, 0.0039, 0.0, 0.0078, 0.0, 0.0078, 0.0156, 0.0117, 0.0, 0.0078, 0.0039, 0.0117, 0.0039, 0.0156, 0.0078, 0.0078, 0.0039, 0.0234, 0.0078, 0.0117, 0.0195, 0.0117, 0.0117, 0.0, 0.0156, 0.0156, 0.0, 0.0156, 0.0156, 0.0078, 0.0263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0312, 0.082, 0.0039, 0.0117, 0.0156, 0.0156, 0.0117, 0.0859, 0.0391, 0.0078, 0.0234, 0.0234, 0.0312, 0.0195, 0.0469, 0.0156, 0.0742, 0.1055, 0.0, 0.0156, 0.0352, 0.0117, 0.0039, 0.0234, 0.0039, 0.0117, 0.0078, 0.0156, 0.0195, 0.0039, 0.0234, 0.0, 0.0039, 0.0078, 0.0078, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0078, 0.0117, 0.0039, 0.0195, 0.0078, 0.0234, 0.0, 0.0117, 0.0078, 0.0117, 0.0078, 0.0039, 0.0039, 0.0039, 0.0078, 0.0078, 0.0156, 0.0039, 0.0078, 0.0039, 0.0039, 0.0, 0.0039, 0.0195, 0.0195, 0.0039, 0.0, 0.0078, 0.0039, 0.0, 0.0078, 0.0078, 0.0078, 0.0117, 0.0118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0508, 0.207, 0.2188, 0.0625, 0.0039, 0.0547, 0.0234, 0.0078, 0.043, 0.0195, 0.0117, 0.0078, 0.0078, 0.0117, 0.0078, 0.0273, 0.0156, 0.0156, 0.0078, 0.0078, 0.0, 0.0117, 0.0078, 0.0, 0.0039, 0.0078, 0.0078, 0.0039, 0.0078, 0.0, 0.0039, 0.0, 0.0039, 0.0078, 0.0078, 0.0078, 0.0039, 0.0, 0.0078, 0.0078, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0078, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0117, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0586, 0.0977, 0.082, 0.043, 0.043, 0.0156, 0.0273, 0.0156, 0.0273, 0.0039, 0.0469, 0.0352, 0.0273, 0.0234, 0.0391, 0.0195, 0.0039, 0.0117, 0.0, 0.0352, 0.0195, 0.0117, 0.0547, 0.0391, 0.0039, 0.0039, 0.0078, 0.0625, 0.0156, 0.0312, 0.0117, 0.0273, 0.0039, 0.0156, 0.0039, 0.0039, 0.0, 0.0078, 0.0078, 0.0078, 0.0117, 0.0156, 0.0, 0.0078, 0.0039, 0.0039, 0.0078, 0.0078, 0.0273, 0.0156, 0.0273, 0.0156, 0.0039, 0.0039, 0.0039, 0.0234, 0.0039, 0.0117, 0.0039, 0.0195, 0.0078, 0.0117, 0.0156, 0.0039, 0.0078, 0.0039, 0.0078, 0.0117, 0.0195, 0.0039, 0.0, 0.0078, 0.0156, 0.0208]"
4,full-ensemble,experience_test_acc-mean,"[0.0, 0.0, 0.0, 0.0007, 0.9643]"
5,full-ensemble,experience_test_acc-std,"[0.0, 0.0, 0.0, 0.0007, 0.003]"
6,full-ensemble,experience_train_acc-mean,"[0.9969, 0.8697, 0.7326, 0.7863, 0.7164]"
7,full-ensemble,experience_train_acc-std,"[0.0002, 0.0021, 0.0043, 0.0041, 0.0049]"
8,max_diversity-accuracy_score-num_gurus-1,batch_test_acc-mean,"[0.0, 0.793, 0.7773, 0.7812, 0.7578, 0.8203, 0.8086, 0.8164, 0.8242, 0.7656, 0.7812, 0.7812, 0.7695, 0.7695, 0.7695, 0.7852, 0.8358, 0.0625, 0.0859, 0.0703, 0.0625, 0.0664, 0.0508, 0.082, 0.0625, 0.0859, 0.0938, 0.0625, 0.0703, 0.0898, 0.0469, 0.1133, 0.0738, 0.4922, 0.5078, 0.5, 0.4922, 0.4961, 0.5156, 0.4883, 0.4922, 0.4844, 0.5078, 0.5039, 0.4961, 0.5, 0.5, 0.5244, 0.1133, 0.1641, 0.1445, 0.1641, 0.0859, 0.1133, 0.1211, 0.1289, 0.1602, 0.1211, 0.1367, 0.1328, 0.1445, 0.1289, 0.1328, 0.1364, 0.0273, 0.0156, 0.0352, 0.0312, 0.0078, 0.043, 0.0195, 0.0469, 0.0234, 0.0156, 0.0195, 0.0391, 0.0273, 0.0312, 0.0352, 0.0556]"
9,max_diversity-accuracy_score-num_gurus-1,batch_test_acc-std,"[0.0, 0.207, 0.2227, 0.2188, 0.2344, 0.1797, 0.1914, 0.1836, 0.1758, 0.2188, 0.2188, 0.2188, 0.2148, 0.2227, 0.2305, 0.2148, 0.1642, 0.0625, 0.0859, 0.0703, 0.0625, 0.0664, 0.0508, 0.082, 0.0625, 0.0859, 0.0938, 0.0625, 0.0625, 0.0898, 0.0469, 0.1133, 0.0738, 0.4844, 0.4844, 0.4844, 0.4844, 0.4805, 0.4688, 0.4805, 0.4766, 0.4531, 0.4688, 0.4883, 0.4883, 0.4688, 0.4766, 0.4634, 0.0742, 0.0703, 0.0742, 0.1094, 0.0625, 0.0898, 0.0742, 0.0898, 0.1133, 0.0898, 0.0586, 0.0859, 0.0898, 0.0742, 0.0781, 0.1212, 0.0273, 0.0078, 0.0352, 0.0312, 0.0078, 0.0352, 0.0195, 0.0469, 0.0234, 0.0156, 0.0195, 0.0391, 0.0273, 0.0312, 0.0352, 0.0397]"
