,ensemble_name,0
batch_test_acc-mean,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0052, 0.0104, 0.0078, 0.0, 0.0026, 0.0, 0.0052, 0.0052, 0.0052, 0.0052, 0.0052, 0.0078, 0.013, 0.0026, 0.0026, 0.0027, 0.0, 0.0, 0.0, 0.0052, 0.0, 0.0026, 0.0, 0.0, 0.0, 0.0, 0.0026, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0052, 0.0052, 0.0104, 0.0078, 0.013, 0.0078, 0.0026, 0.0156, 0.0208, 0.0182, 0.0104, 0.0052, 0.013, 0.0104, 0.0051, 0.8099, 0.8281, 0.7786, 0.8125, 0.7865, 0.737, 0.7943, 0.8177, 0.763, 0.8099, 0.8229, 0.75, 0.7839, 0.8177, 0.8177, 0.8201]"
batch_test_acc-std,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0074, 0.0147, 0.0064, 0.0, 0.0037, 0.0, 0.0074, 0.0037, 0.0074, 0.0074, 0.0074, 0.011, 0.0133, 0.0037, 0.0037, 0.0039, 0.0, 0.0, 0.0, 0.0074, 0.0, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0064, 0.0037, 0.0037, 0.0097, 0.0064, 0.0097, 0.0064, 0.0037, 0.0221, 0.0147, 0.0133, 0.0074, 0.0037, 0.0184, 0.0074, 0.0071, 0.093, 0.1003, 0.0925, 0.0963, 0.1317, 0.1221, 0.1267, 0.1143, 0.0725, 0.0761, 0.0868, 0.0994, 0.0857, 0.0645, 0.0871, 0.0981]"
batch_train_acc-mean,full-ensemble,"[0.5859, 0.8047, 0.9714, 0.987, 0.9896, 0.9896, 0.9948, 0.9818, 0.9844, 0.9818, 0.987, 0.987, 0.987, 0.9922, 0.9922, 0.9948, 0.9948, 0.9974, 0.9974, 1.0, 1.0, 0.9974, 0.9948, 0.9896, 0.9948, 0.9974, 0.9948, 0.9896, 0.9818, 0.9922, 0.9948, 0.9948, 0.9922, 0.9974, 0.9974, 0.9948, 0.9896, 1.0, 0.9974, 0.9948, 0.9922, 0.9974, 0.9974, 0.9974, 0.9948, 0.9974, 0.9896, 1.0, 0.9974, 0.9974, 0.9948, 0.9948, 0.9974, 0.9974, 0.9948, 0.9922, 0.9896, 1.0, 0.9974, 0.9974, 0.9974, 0.9974, 1.0, 0.9948, 0.9974, 1.0, 0.9948, 0.9974, 0.9922, 1.0, 1.0, 0.9948, 0.9896, 0.9974, 0.9974, 0.9974, 0.9948, 0.9974, 1.0, 0.9974, 0.9974, 1.0, 0.9974, 0.9974, 0.9974, 0.9974, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9974, 0.9974, 0.9974, 0.9974, 0.9948, 0.9974, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0104, 0.026, 0.0781, 0.1589, 0.3229, 0.4401, 0.4505, 0.5339, 0.513, 0.5651, 0.5885, 0.6016, 0.6276, 0.6667, 0.7057, 0.6589, 0.6562, 0.6901, 0.7266, 0.7292, 0.737, 0.7734, 0.763, 0.8047, 0.7891, 0.8333, 0.8333, 0.8646, 0.862, 0.8984, 0.8828, 0.8906, 0.875, 0.8984, 0.862, 0.8958, 0.8854, 0.8984, 0.9089, 0.9193, 0.9036, 0.9167, 0.9453, 0.9323, 0.9062, 0.9193, 0.9323, 0.9323, 0.9219, 0.9089, 0.9349, 0.9193, 0.9271, 0.9245, 0.9427, 0.9297, 0.9349, 0.9323, 0.9323, 0.9375, 0.9167, 0.9323, 0.9427, 0.9193, 0.9427, 0.9323, 0.9531, 0.9505, 0.9531, 0.9453, 0.9401, 0.9531, 0.9271, 0.9349, 0.9505, 0.9688, 0.9427, 0.9557, 0.9479, 0.9505, 0.9427, 0.9635, 0.9453, 0.9583, 0.9474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0052, 0.0365, 0.0885, 0.1224, 0.1432, 0.1745, 0.2135, 0.2995, 0.4427, 0.5339, 0.5052, 0.5781, 0.6641, 0.6797, 0.7396, 0.7552, 0.7292, 0.75, 0.6589, 0.6667, 0.6641, 0.6562, 0.6771, 0.6901, 0.7057, 0.7057, 0.6615, 0.6354, 0.7083, 0.7135, 0.7083, 0.7109, 0.7786, 0.7578, 0.7526, 0.7812, 0.8177, 0.8151, 0.8229, 0.8385, 0.8438, 0.8177, 0.8177, 0.8021, 0.8281, 0.8411, 0.7917, 0.8177, 0.8073, 0.8542, 0.8542, 0.8698, 0.8802, 0.8932, 0.8958, 0.8672, 0.8932, 0.8594, 0.888, 0.875, 0.9219, 0.9193, 0.9349, 0.9661, 0.9479, 0.9271, 0.9531, 0.9449, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0286, 0.1406, 0.2109, 0.224, 0.2266, 0.2448, 0.3021, 0.2917, 0.3359, 0.3203, 0.3568, 0.3385, 0.3385, 0.349, 0.3516, 0.4062, 0.4453, 0.5234, 0.526, 0.5625, 0.6276, 0.7318, 0.8411, 0.888, 0.8984, 0.9427, 0.9401, 0.9297, 0.9245, 0.9115, 0.9167, 0.9141, 0.9062, 0.8932, 0.8802, 0.875, 0.8542, 0.8229, 0.8333, 0.862, 0.8542, 0.8464, 0.8646, 0.888, 0.8854, 0.888, 0.8984, 0.9297, 0.9557, 0.9245, 0.9219, 0.9375, 0.9297, 0.9115, 0.9479, 0.9401, 0.9583, 0.9401, 0.942, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0156, 0.0938, 0.1484, 0.1875, 0.1589, 0.1901, 0.263, 0.3698, 0.3255, 0.3464, 0.3099, 0.3281, 0.3307, 0.3281, 0.4557, 0.4219, 0.4062, 0.4323, 0.4219, 0.4271, 0.4375, 0.4245, 0.4193, 0.3828, 0.4115, 0.4557, 0.4375, 0.4167, 0.4505, 0.5052, 0.599, 0.6068, 0.6693, 0.6823, 0.7005, 0.6797, 0.7135, 0.7161, 0.6875, 0.7057, 0.75, 0.75]"
batch_train_acc-std,full-ensemble,"[0.3118, 0.2233, 0.0195, 0.0074, 0.0147, 0.0097, 0.0074, 0.0037, 0.0064, 0.0097, 0.0037, 0.0133, 0.0133, 0.0, 0.0064, 0.0074, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0074, 0.0037, 0.0, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0074, 0.0, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.011, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0074, 0.0037, 0.0, 0.0037, 0.0037, 0.0064, 0.0, 0.0, 0.0037, 0.0097, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0074, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0147, 0.0368, 0.1105, 0.1378, 0.1187, 0.0315, 0.07, 0.0351, 0.0242, 0.0321, 0.062, 0.1065, 0.1372, 0.1339, 0.1292, 0.1814, 0.1471, 0.1702, 0.1769, 0.1683, 0.2007, 0.1524, 0.1276, 0.0773, 0.0829, 0.0808, 0.0351, 0.0321, 0.0688, 0.0221, 0.0064, 0.0169, 0.023, 0.023, 0.0195, 0.0161, 0.0133, 0.046, 0.0242, 0.0301, 0.0495, 0.0242, 0.0169, 0.0097, 0.0331, 0.0327, 0.0205, 0.0327, 0.0128, 0.0295, 0.0224, 0.0205, 0.0195, 0.0147, 0.0037, 0.0221, 0.0205, 0.0258, 0.0184, 0.0169, 0.0161, 0.0097, 0.0195, 0.0161, 0.0147, 0.0037, 0.0064, 0.0224, 0.0169, 0.0169, 0.0266, 0.0128, 0.0224, 0.0205, 0.0037, 0.0064, 0.0161, 0.0195, 0.0224, 0.0224, 0.0161, 0.0205, 0.0169, 0.0195, 0.0143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0074, 0.0516, 0.1252, 0.1731, 0.1971, 0.1893, 0.1977, 0.2221, 0.3195, 0.3776, 0.2795, 0.1722, 0.0829, 0.1442, 0.1475, 0.1197, 0.1731, 0.1408, 0.1747, 0.2083, 0.1677, 0.2074, 0.1973, 0.1859, 0.1695, 0.175, 0.2013, 0.2137, 0.1849, 0.1814, 0.1884, 0.1786, 0.1632, 0.207, 0.1886, 0.1445, 0.1292, 0.1483, 0.1773, 0.1314, 0.1003, 0.1585, 0.1185, 0.1142, 0.1364, 0.0894, 0.1098, 0.1163, 0.1345, 0.0847, 0.0976, 0.0593, 0.0161, 0.0717, 0.0593, 0.1217, 0.107, 0.1449, 0.1252, 0.1164, 0.0482, 0.0483, 0.0133, 0.0097, 0.0195, 0.0037, 0.0169, 0.0111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0405, 0.1989, 0.2659, 0.2293, 0.2283, 0.1845, 0.2151, 0.2071, 0.2381, 0.2303, 0.2523, 0.2395, 0.2397, 0.2468, 0.2432, 0.2884, 0.2973, 0.3153, 0.2957, 0.2652, 0.1977, 0.1372, 0.0798, 0.0833, 0.0506, 0.0161, 0.0133, 0.0169, 0.0321, 0.0579, 0.0688, 0.0884, 0.1003, 0.1237, 0.117, 0.0829, 0.1033, 0.1087, 0.1085, 0.1053, 0.1124, 0.1079, 0.0907, 0.0688, 0.0664, 0.0734, 0.0773, 0.0418, 0.0315, 0.0224, 0.0522, 0.046, 0.0522, 0.0512, 0.0351, 0.0374, 0.0368, 0.0425, 0.0205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0221, 0.0877, 0.1154, 0.1977, 0.1773, 0.2633, 0.192, 0.2616, 0.2397, 0.2459, 0.2197, 0.2324, 0.2387, 0.2352, 0.339, 0.3096, 0.3118, 0.3089, 0.3153, 0.3149, 0.3278, 0.316, 0.3168, 0.3034, 0.2954, 0.3242, 0.3203, 0.2957, 0.2734, 0.2505, 0.1314, 0.0916, 0.1197, 0.0572, 0.0981, 0.1715, 0.1124, 0.0993, 0.1936, 0.17, 0.134, 0.09]"
batch_test_acc-mean,random_better-accuracy_score,"[0.2161, 0.7943, 0.8151, 0.7786, 0.8047, 0.7995, 0.7969, 0.7708, 0.8177, 0.8021, 0.8125, 0.7708, 0.8203, 0.8255, 0.776, 0.8047, 0.8209, 0.0, 0.0, 0.0052, 0.0026, 0.0026, 0.0, 0.0052, 0.0026, 0.0052, 0.0, 0.0026, 0.0026, 0.0078, 0.0, 0.0, 0.0027, 0.612, 0.6224, 0.6172, 0.6172, 0.6094, 0.5938, 0.6068, 0.612, 0.6172, 0.599, 0.6042, 0.6094, 0.6016, 0.6094, 0.6423, 0.4479, 0.474, 0.4948, 0.4583, 0.4661, 0.4349, 0.4635, 0.4453, 0.4896, 0.4583, 0.4583, 0.4427, 0.4557, 0.4661, 0.4948, 0.4848, 0.1276, 0.138, 0.1198, 0.1458, 0.1172, 0.1016, 0.125, 0.1068, 0.1432, 0.1198, 0.1354, 0.1302, 0.1224, 0.0833, 0.1198, 0.1481]"
batch_test_acc-std,random_better-accuracy_score,"[0.3057, 0.0703, 0.0958, 0.0642, 0.069, 0.0606, 0.0418, 0.0415, 0.0756, 0.0655, 0.1195, 0.0905, 0.0844, 0.0639, 0.0761, 0.0752, 0.0853, 0.0, 0.0, 0.0074, 0.0037, 0.0037, 0.0, 0.0074, 0.0037, 0.0074, 0.0, 0.0037, 0.0037, 0.011, 0.0, 0.0, 0.0039, 0.433, 0.4346, 0.4367, 0.4316, 0.4332, 0.4206, 0.4129, 0.428, 0.4365, 0.418, 0.4274, 0.4313, 0.42, 0.4311, 0.4546, 0.3738, 0.3696, 0.3491, 0.3778, 0.341, 0.3941, 0.3414, 0.3761, 0.3397, 0.3696, 0.3668, 0.3629, 0.3689, 0.3671, 0.3518, 0.354, 0.1642, 0.1736, 0.1585, 0.1846, 0.1442, 0.1217, 0.1605, 0.1348, 0.1705, 0.1529, 0.1752, 0.1625, 0.1622, 0.1124, 0.1639, 0.2095]"
batch_train_acc-mean,random_better-accuracy_score,"[0.5286, 0.7969, 0.9479, 0.9714, 0.9974, 0.9818, 0.9948, 0.9922, 0.9896, 0.9792, 0.9922, 0.9974, 0.9818, 0.9896, 0.9948, 0.9948, 0.9974, 0.9896, 1.0, 0.9922, 1.0, 0.9922, 0.9948, 0.987, 0.9948, 0.9974, 0.9948, 0.9896, 0.9818, 0.9922, 0.9948, 0.9948, 0.9922, 0.9948, 0.9974, 0.9974, 0.9922, 1.0, 1.0, 0.9974, 0.9948, 0.9948, 0.9974, 0.9974, 0.9948, 0.9948, 0.9896, 0.9974, 0.9974, 1.0, 0.9948, 0.9974, 0.9974, 0.9948, 0.9948, 0.9922, 0.9896, 1.0, 0.9974, 1.0, 0.9974, 0.9974, 1.0, 0.9948, 0.9974, 1.0, 0.9974, 0.9974, 0.9922, 1.0, 1.0, 0.9948, 0.9922, 0.9844, 0.8099, 0.9974, 0.9948, 0.9479, 1.0, 0.9974, 0.9974, 1.0, 0.9974, 0.9974, 0.9974, 0.9974, 0.9896, 0.9974, 1.0, 0.9974, 0.9974, 0.9948, 0.9974, 0.9792, 0.987, 0.9922, 0.9974, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0365, 0.0339, 0.2292, 0.2292, 0.2474, 0.2656, 0.2656, 0.2656, 0.0, 0.2839, 0.3281, 0.3073, 0.1823, 0.3516, 0.375, 0.3698, 0.3828, 0.4401, 0.4766, 0.3333, 0.513, 0.3307, 0.5104, 0.4896, 0.5234, 0.4479, 0.4844, 0.5417, 0.5547, 0.5677, 0.5781, 0.5833, 0.5521, 0.5469, 0.5547, 0.5729, 0.4896, 0.5625, 0.5182, 0.5469, 0.5443, 0.5234, 0.4714, 0.5182, 0.5104, 0.5521, 0.5, 0.5286, 0.5417, 0.5651, 0.5833, 0.5781, 0.5677, 0.599, 0.638, 0.5938, 0.5755, 0.625, 0.6562, 0.625, 0.6224, 0.6094, 0.6458, 0.7318, 0.7786, 0.8021, 0.8151, 0.8187, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0339, 0.1068, 0.2109, 0.2917, 0.3906, 0.4219, 0.5052, 0.5312, 0.5104, 0.4948, 0.5573, 0.5599, 0.5312, 0.5443, 0.5365, 0.5703, 0.5495, 0.5625, 0.6224, 0.612, 0.6354, 0.5729, 0.6354, 0.6198, 0.6797, 0.7266, 0.7031, 0.7292, 0.7396, 0.7292, 0.7526, 0.7552, 0.7682, 0.7708, 0.75, 0.8359, 0.8047, 0.7917, 0.7786, 0.8255, 0.7839, 0.8177, 0.8438, 0.8307, 0.8151, 0.8385, 0.8203, 0.8594, 0.8203, 0.8542, 0.8568, 0.8854, 0.8958, 0.8958, 0.9271, 0.901, 0.9193, 0.9349, 0.9557, 0.9271, 0.9427, 0.9427, 0.9531, 0.9557, 0.9531, 0.9635, 0.9401, 0.9531, 0.9479, 0.9688, 0.9661, 0.9714, 0.9505, 0.9766, 0.958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0104, 0.0417, 0.0573, 0.0781, 0.0781, 0.2214, 0.2708, 0.3828, 0.4115, 0.4479, 0.4531, 0.5, 0.4844, 0.4688, 0.4714, 0.5026, 0.4922, 0.5365, 0.5026, 0.5234, 0.5156, 0.526, 0.5755, 0.5521, 0.5286, 0.5807, 0.6016, 0.5885, 0.5911, 0.6068, 0.638, 0.6536, 0.6172, 0.6432, 0.6589, 0.6719, 0.6484, 0.6172, 0.6484, 0.6432, 0.6589, 0.7005, 0.7109, 0.6849, 0.6953, 0.7109, 0.7083, 0.7031, 0.7057, 0.7526, 0.7161, 0.7292, 0.7031, 0.7188, 0.7474, 0.7526, 0.7396, 0.7552, 0.7656, 0.7474, 0.7943, 0.7552, 0.7943, 0.7917, 0.8177, 0.8229, 0.8229, 0.8906, 0.8255, 0.8151, 0.8438, 0.8281, 0.8464, 0.8516, 0.9844, 0.974, 0.9557, 0.974, 0.9688, 0.9531, 0.9609, 0.9714, 0.9714, 0.9818, 0.9531, 0.9792, 0.974, 0.9688, 0.9818, 0.974, 0.9855, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0495, 0.1302, 0.2708, 0.2969, 0.3047, 0.4661, 0.5026, 0.4609, 0.5339, 0.5469, 0.5234, 0.5078, 0.5078, 0.4792, 0.4609, 0.5026, 0.4375, 0.5026, 0.5104, 0.5104, 0.4818, 0.4427, 0.4635, 0.4948, 0.4401, 0.5052, 0.5156, 0.4661, 0.4766, 0.5469, 0.5339, 0.5, 0.5391, 0.5208, 0.474, 0.4766, 0.5573, 0.6042, 0.5078, 0.6354, 0.6406, 0.5677, 0.5573, 0.5156, 0.5651, 0.5312, 0.5495, 0.6536, 0.638, 0.6693, 0.5964, 0.6589, 0.6484, 0.625, 0.6745, 0.5234, 0.6745, 0.6693, 0.6432, 0.7031, 0.6589, 0.651, 0.6615, 0.6771, 0.6667, 0.6276, 0.6354, 0.6745, 0.5885, 0.6302, 0.6849, 0.6693, 0.6198, 0.6589, 0.5, 0.487, 0.5104, 0.4792, 0.5, 0.5286, 0.5469, 0.5729, 0.612, 0.625, 0.5833]"
batch_train_acc-std,random_better-accuracy_score,"[0.1094, 0.1564, 0.039, 0.0161, 0.0037, 0.0074, 0.0074, 0.0064, 0.0074, 0.0161, 0.0, 0.0037, 0.0074, 0.0097, 0.0037, 0.0074, 0.0037, 0.0074, 0.0, 0.0, 0.0, 0.011, 0.0037, 0.0074, 0.0037, 0.0037, 0.0037, 0.0074, 0.0037, 0.0, 0.0037, 0.0037, 0.0064, 0.0037, 0.0037, 0.0037, 0.0064, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0074, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0074, 0.0037, 0.011, 0.0037, 0.0, 0.0037, 0.0, 0.0037, 0.0037, 0.0, 0.0074, 0.0037, 0.0, 0.0037, 0.0037, 0.0064, 0.0, 0.0, 0.0037, 0.0064, 0.0169, 0.2633, 0.0037, 0.0037, 0.0737, 0.0, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0097, 0.0037, 0.0, 0.0037, 0.0037, 0.0074, 0.0037, 0.0133, 0.0133, 0.011, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0516, 0.0479, 0.1741, 0.164, 0.1752, 0.1878, 0.1879, 0.1878, 0.0, 0.2013, 0.2324, 0.2206, 0.2578, 0.1786, 0.1837, 0.1899, 0.1768, 0.0798, 0.0482, 0.2379, 0.0512, 0.2341, 0.0288, 0.0327, 0.0355, 0.0351, 0.0506, 0.0097, 0.0388, 0.0535, 0.0982, 0.1025, 0.0958, 0.0388, 0.0338, 0.0487, 0.0288, 0.0418, 0.0097, 0.0447, 0.0479, 0.0221, 0.0133, 0.0374, 0.0301, 0.0147, 0.0128, 0.0368, 0.047, 0.0543, 0.1237, 0.0752, 0.1568, 0.1283, 0.118, 0.115, 0.1805, 0.1559, 0.1778, 0.1399, 0.1575, 0.1778, 0.1568, 0.0833, 0.0921, 0.1033, 0.1145, 0.1085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0479, 0.1145, 0.105, 0.1087, 0.0773, 0.1088, 0.0531, 0.0886, 0.0798, 0.0205, 0.0385, 0.0161, 0.0765, 0.0327, 0.0803, 0.0278, 0.0425, 0.0628, 0.0711, 0.0842, 0.0803, 0.0993, 0.1415, 0.1158, 0.1691, 0.134, 0.1673, 0.1829, 0.1956, 0.182, 0.1729, 0.134, 0.1354, 0.1691, 0.1826, 0.1256, 0.1618, 0.1869, 0.1737, 0.1642, 0.1897, 0.1654, 0.1618, 0.1345, 0.1581, 0.1566, 0.161, 0.1121, 0.1736, 0.1314, 0.1091, 0.1076, 0.0923, 0.0787, 0.0483, 0.0626, 0.0453, 0.0351, 0.0133, 0.0205, 0.0288, 0.0266, 0.0, 0.0258, 0.0221, 0.0195, 0.0295, 0.011, 0.0133, 0.023, 0.0097, 0.0147, 0.0147, 0.011, 0.0134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0147, 0.0589, 0.0479, 0.0585, 0.0672, 0.1023, 0.0688, 0.0482, 0.0766, 0.0989, 0.0398, 0.0338, 0.023, 0.0585, 0.0184, 0.0603, 0.023, 0.0147, 0.0711, 0.0418, 0.0904, 0.1023, 0.0761, 0.0894, 0.0798, 0.1072, 0.1232, 0.1091, 0.1375, 0.1413, 0.1637, 0.096, 0.1532, 0.1539, 0.1595, 0.1462, 0.1688, 0.2014, 0.1837, 0.1862, 0.1798, 0.1622, 0.1883, 0.1741, 0.1993, 0.1768, 0.1899, 0.1796, 0.1851, 0.1695, 0.1948, 0.1814, 0.1905, 0.2091, 0.1979, 0.2042, 0.1948, 0.2009, 0.1883, 0.2013, 0.1669, 0.1805, 0.1982, 0.2063, 0.1684, 0.182, 0.1978, 0.1381, 0.2042, 0.2124, 0.183, 0.21, 0.1741, 0.1459, 0.0064, 0.0161, 0.0351, 0.0205, 0.0255, 0.0319, 0.0169, 0.0351, 0.0258, 0.0161, 0.0418, 0.0161, 0.0205, 0.023, 0.0147, 0.0161, 0.0205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0543, 0.0997, 0.1941, 0.21, 0.2207, 0.047, 0.0495, 0.0552, 0.039, 0.046, 0.046, 0.0383, 0.0666, 0.0133, 0.0169, 0.0205, 0.011, 0.0655, 0.0351, 0.0425, 0.1124, 0.0161, 0.0258, 0.0288, 0.0479, 0.0266, 0.0292, 0.0133, 0.0064, 0.0292, 0.041, 0.0169, 0.0278, 0.0097, 0.039, 0.0128, 0.0415, 0.088, 0.0338, 0.0974, 0.1449, 0.1511, 0.0976, 0.0672, 0.0461, 0.0672, 0.1654, 0.1846, 0.2371, 0.1841, 0.2087, 0.2206, 0.1896, 0.2213, 0.2001, 0.3799, 0.1971, 0.2159, 0.2197, 0.1837, 0.2137, 0.2247, 0.2137, 0.191, 0.1925, 0.2083, 0.2459, 0.2197, 0.2302, 0.2239, 0.18, 0.202, 0.2471, 0.2182, 0.399, 0.3924, 0.4027, 0.3891, 0.3853, 0.3312, 0.2839, 0.2649, 0.2657, 0.253, 0.2657]"
batch_test_acc-mean,random_better-balanced_accuracy_score,"[0.2682, 0.9401, 0.9661, 0.9271, 0.9609, 0.9505, 0.9323, 0.9271, 0.9505, 0.9557, 0.9609, 0.9531, 0.9609, 0.9531, 0.9245, 0.9661, 0.9552, 0.0625, 0.0625, 0.0599, 0.0599, 0.0547, 0.0573, 0.0677, 0.0573, 0.0573, 0.0469, 0.0625, 0.0651, 0.0703, 0.0521, 0.0547, 0.0601, 0.4323, 0.4453, 0.4583, 0.487, 0.4401, 0.4115, 0.4661, 0.4271, 0.4375, 0.4531, 0.4401, 0.4505, 0.4401, 0.4401, 0.4228, 0.4766, 0.5, 0.474, 0.4922, 0.526, 0.5026, 0.474, 0.5104, 0.4531, 0.4401, 0.474, 0.4896, 0.5208, 0.4896, 0.5286, 0.5354, 0.0104, 0.0156, 0.0182, 0.013, 0.0182, 0.013, 0.026, 0.0156, 0.0078, 0.0104, 0.013, 0.0208, 0.0156, 0.0156, 0.013, 0.0159]"
batch_test_acc-std,random_better-balanced_accuracy_score,"[0.3793, 0.0739, 0.0425, 0.0866, 0.0552, 0.0535, 0.0958, 0.1031, 0.0645, 0.0572, 0.0442, 0.0552, 0.0552, 0.0609, 0.1013, 0.0425, 0.0633, 0.0776, 0.0884, 0.0688, 0.0739, 0.0567, 0.0703, 0.0792, 0.0703, 0.0756, 0.0609, 0.0829, 0.0711, 0.0784, 0.0682, 0.0773, 0.0793, 0.4023, 0.3879, 0.3865, 0.4087, 0.3785, 0.3893, 0.386, 0.4061, 0.401, 0.3905, 0.3793, 0.3801, 0.3964, 0.3812, 0.389, 0.0886, 0.0292, 0.0717, 0.0221, 0.0242, 0.0327, 0.0315, 0.0487, 0.011, 0.0516, 0.0557, 0.0483, 0.0968, 0.0453, 0.0368, 0.0434, 0.0147, 0.0169, 0.0258, 0.0184, 0.0258, 0.0184, 0.0368, 0.0221, 0.011, 0.0147, 0.0184, 0.0295, 0.0221, 0.0221, 0.0184, 0.0224]"
