ensemble_name,measure_name,mean_acc,Context 1,Context 2,Context 3,Context 4,Context 5
StudentExpert-num_gurus_train-3-num_gurus_test-1,experience_train_acc-mean,0.8757 (0.0179),0.9939 (0.0024),0.8516 (0.0145),0.8558 (0.0151),0.8794 (0.0214),0.798 (0.036)
StudentExpert-num_gurus_train-2-num_gurus_test-1,experience_train_acc-mean,0.8743 (0.0225),0.9929 (0.0027),0.8308 (0.0288),0.8499 (0.0164),0.8831 (0.0246),0.8147 (0.0398)
StudentExpert-num_gurus_train-3-num_gurus_test-2,experience_train_acc-mean,0.8714 (0.0173),0.9945 (0.002),0.8473 (0.0155),0.8537 (0.0148),0.868 (0.0236),0.7935 (0.0305)
StudentExpert-num_gurus_train-2-num_gurus_test-2,experience_train_acc-mean,0.8689 (0.0214),0.9947 (0.002),0.8314 (0.0249),0.8475 (0.0151),0.8713 (0.027),0.7995 (0.038)
probabilistic_better-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.8653 (0.0193),0.9966 (0.0004),0.8403 (0.0174),0.8442 (0.0176),0.861 (0.0263),0.7845 (0.0349)
probabilistic_better-accuracy_score-num_gurus-3,experience_train_acc-mean,0.8653 (0.0188),0.9967 (0.0005),0.8379 (0.0191),0.8468 (0.0127),0.864 (0.0275),0.781 (0.0342)
StudentExpert-num_gurus_train-4-num_gurus_test-1,experience_train_acc-mean,0.8648 (0.0136),0.9938 (0.0028),0.8547 (0.0102),0.8632 (0.0126),0.8338 (0.0168),0.7787 (0.0256)
probabilistic_better-f1_score-num_gurus-3,experience_train_acc-mean,0.8643 (0.0195),0.9966 (0.0004),0.8367 (0.0216),0.849 (0.0131),0.8546 (0.0274),0.7846 (0.0351)
probabilistic_weighted-accuracy_score-num_gurus-3,experience_train_acc-mean,0.8642 (0.0181),0.9965 (0.0007),0.8381 (0.0173),0.8481 (0.0141),0.8559 (0.0275),0.7823 (0.0307)
probabilistic_weighted-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.8639 (0.0166),0.9966 (0.0006),0.839 (0.0181),0.8502 (0.0124),0.8574 (0.0216),0.7762 (0.0301)
probabilistic_better-accuracy_score-num_gurus-2,experience_train_acc-mean,0.8638 (0.0253),0.9966 (0.0007),0.8276 (0.0268),0.8419 (0.0195),0.8615 (0.0303),0.7916 (0.0491)
probabilistic_better-f1_score-num_gurus-2,experience_train_acc-mean,0.8636 (0.026),0.9966 (0.0005),0.83 (0.0243),0.846 (0.019),0.8652 (0.0325),0.7803 (0.0535)
probabilistic_weighted-balanced_accuracy_score-num_gurus-2,experience_train_acc-mean,0.8631 (0.0262),0.9967 (0.0003),0.8234 (0.0292),0.8391 (0.02),0.8702 (0.027),0.7862 (0.0546)
probabilistic_weighted-f1_score-num_gurus-3,experience_train_acc-mean,0.8631 (0.0184),0.9966 (0.0004),0.8379 (0.0199),0.8484 (0.0136),0.8578 (0.0258),0.7746 (0.0321)
probabilistic_weighted-accuracy_score-num_gurus-2,experience_train_acc-mean,0.863 (0.0261),0.9966 (0.0005),0.8286 (0.0256),0.8403 (0.0206),0.8622 (0.0355),0.7871 (0.0483)
StudentExpert-num_gurus_train-3-num_gurus_test-3,experience_train_acc-mean,0.8613 (0.0187),0.9956 (0.0013),0.8396 (0.0185),0.8426 (0.0186),0.852 (0.0242),0.7768 (0.031)
StudentExpert-num_gurus_train-4-num_gurus_test-2,experience_train_acc-mean,0.8612 (0.0162),0.9943 (0.0022),0.854 (0.0119),0.8569 (0.0133),0.8291 (0.0223),0.7719 (0.0312)
probabilistic_weighted-f1_score-num_gurus-2,experience_train_acc-mean,0.8609 (0.0274),0.9967 (0.0004),0.8237 (0.0266),0.8406 (0.0202),0.8596 (0.0316),0.7839 (0.0584)
StudentExpert-num_gurus_train-4-num_gurus_test-3,experience_train_acc-mean,0.8593 (0.0136),0.995 (0.0019),0.854 (0.0123),0.8551 (0.009),0.8337 (0.0165),0.7587 (0.0281)
probabilistic_better-balanced_accuracy_score-num_gurus-2,experience_train_acc-mean,0.859 (0.0276),0.9965 (0.0005),0.8218 (0.0286),0.8425 (0.017),0.8594 (0.0377),0.7749 (0.0543)
single_Net,experience_train_acc-mean,0.8584 (0.0199),0.9969 (0.0015),0.889 (0.0163),0.8097 (0.0242),0.837 (0.0224),0.7594 (0.0351)
random_better-accuracy_score-num_gurus-3,experience_train_acc-mean,0.8583 (0.0196),0.9967 (0.0003),0.8211 (0.0229),0.8408 (0.0188),0.8578 (0.0238),0.7753 (0.032)
probabilistic_weighted-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8571 (0.0154),0.9966 (0.0006),0.8498 (0.0167),0.8518 (0.0135),0.8253 (0.0158),0.7618 (0.0302)
random_better-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.8565 (0.0204),0.9966 (0.0005),0.8253 (0.0218),0.8428 (0.0201),0.8503 (0.0306),0.7674 (0.0288)
random_better-f1_score-num_gurus-3,experience_train_acc-mean,0.856 (0.0209),0.9966 (0.0006),0.8239 (0.0247),0.8384 (0.0162),0.8505 (0.0265),0.7708 (0.0367)
probabilistic_better-f1_score-num_gurus-4,experience_train_acc-mean,0.8556 (0.0153),0.9967 (0.0004),0.8474 (0.0171),0.8516 (0.0115),0.8264 (0.0167),0.7557 (0.031)
StudentExpert-num_gurus_train-2-num_gurus_test-3,experience_train_acc-mean,0.8548 (0.0259),0.9948 (0.002),0.817 (0.0289),0.8372 (0.018),0.8548 (0.0285),0.77 (0.0521)
probabilistic_weighted-accuracy_score-num_gurus-4,experience_train_acc-mean,0.8547 (0.015),0.9966 (0.0006),0.8477 (0.0156),0.8509 (0.0137),0.8265 (0.0172),0.7518 (0.028)
random_better-f1_score-num_gurus-2,experience_train_acc-mean,0.8545 (0.03),0.9967 (0.0003),0.8084 (0.0293),0.835 (0.0195),0.8484 (0.0523),0.7839 (0.0485)
random_better-accuracy_score-num_gurus-2,experience_train_acc-mean,0.8539 (0.028),0.9966 (0.0004),0.8129 (0.0315),0.8325 (0.0221),0.8473 (0.0362),0.7804 (0.0498)
probabilistic_better-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8532 (0.0155),0.9967 (0.0005),0.8455 (0.0144),0.8487 (0.0114),0.8221 (0.0191),0.7531 (0.0319)
StudentExpert-num_gurus_train-3-num_gurus_test-4,experience_train_acc-mean,0.853 (0.02),0.9961 (0.0009),0.8223 (0.0187),0.8395 (0.0183),0.836 (0.027),0.7711 (0.0351)
probabilistic_better-accuracy_score-num_gurus-4,experience_train_acc-mean,0.853 (0.0164),0.9966 (0.0005),0.8448 (0.0139),0.8499 (0.0153),0.8233 (0.0215),0.7505 (0.0307)
probabilistic_weighted-f1_score-num_gurus-4,experience_train_acc-mean,0.8524 (0.0158),0.9966 (0.0008),0.845 (0.0144),0.8496 (0.013),0.8257 (0.0173),0.7449 (0.0335)
random_better-balanced_accuracy_score-num_gurus-2,experience_train_acc-mean,0.8523 (0.03),0.9966 (0.0004),0.8068 (0.0367),0.8308 (0.0229),0.843 (0.0437),0.7843 (0.0465)
StudentExpert-num_gurus_train-1-num_gurus_test-2,experience_train_acc-mean,0.852 (0.0308),0.9938 (0.0023),0.8067 (0.0351),0.8267 (0.0274),0.8586 (0.0308),0.774 (0.0585)
StudentExpert-num_gurus_train-4-num_gurus_test-4,experience_train_acc-mean,0.8511 (0.018),0.9958 (0.0013),0.8482 (0.0136),0.8493 (0.0159),0.8235 (0.0239),0.7388 (0.0352)
random_better-accuracy_score-num_gurus-4,experience_train_acc-mean,0.8503 (0.016),0.9966 (0.0006),0.8377 (0.0177),0.8448 (0.0163),0.822 (0.0173),0.7506 (0.0281)
random_better-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8497 (0.0156),0.9966 (0.0005),0.8337 (0.0188),0.848 (0.0109),0.8195 (0.0177),0.7505 (0.0302)
random_better-f1_score-num_gurus-4,experience_train_acc-mean,0.8486 (0.0172),0.9966 (0.0007),0.8328 (0.0219),0.8475 (0.0133),0.8158 (0.0218),0.7504 (0.0281)
StudentExpert-num_gurus_train-1-num_gurus_test-1,experience_train_acc-mean,0.8475 (0.0405),0.9924 (0.0027),0.7996 (0.0462),0.8305 (0.028),0.8572 (0.0472),0.7579 (0.0784)
probabilistic_better-balanced_accuracy_score-num_gurus-1,experience_train_acc-mean,0.8467 (0.0375),0.9966 (0.0004),0.8014 (0.042),0.829 (0.0292),0.8279 (0.0447),0.7786 (0.0713)
