,measure_name,ensemble_name,results
0,full-ensemble,batch_test_acc-mean,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9605, 0.9631, 0.9612, 0.9609, 0.9611, 0.963, 0.9639, 0.9648, 0.962, 0.96, 0.9614, 0.9625, 0.9639, 0.9553, 0.9664, 0.9625]"
1,full-ensemble,batch_test_acc-std,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0208, 0.0155, 0.0173, 0.0187, 0.0209, 0.0145, 0.0177, 0.0142, 0.017, 0.0204, 0.0146, 0.0151, 0.0159, 0.02, 0.0152, 0.0261]"
2,full-ensemble,batch_train_acc-mean,"[0.9822, 0.9938, 0.9966, 0.9934, 0.997, 0.9975, 0.9952, 0.9961, 0.9962, 0.9944, 0.9955, 0.9944, 0.9955, 0.9953, 0.9952, 0.9941, 0.9931, 0.9947, 0.9948, 0.9955, 0.9961, 0.9964, 0.9958, 0.9948, 0.9964, 0.9959, 0.9966, 0.9956, 0.9969, 0.9955, 0.997, 0.9969, 0.9967, 0.9959, 0.9981, 0.9959, 0.9966, 0.997, 0.9973, 0.9972, 0.9973, 0.9969, 0.997, 0.9973, 0.9959, 0.9977, 0.9964, 0.997, 0.9975, 0.9969, 0.9977, 0.9966, 0.998, 0.9977, 0.9981, 0.997, 0.997, 0.9966, 0.9984, 0.9975, 0.9988, 0.9975, 0.9983, 0.9978, 0.9964, 0.9984, 0.9967, 0.9978, 0.998, 0.998, 0.9975, 0.9981, 0.9973, 0.9969, 0.9981, 0.9975, 0.9983, 0.9981, 0.9978, 0.9973, 0.998, 0.9986, 0.998, 0.9975, 0.998, 0.9988, 0.9983, 0.998, 0.997, 0.9978, 0.9988, 0.9981, 0.9975, 0.998, 0.9983, 0.998, 0.9977, 0.9978, 0.998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0428, 0.3505, 0.6606, 0.7802, 0.8125, 0.8419, 0.8605, 0.882, 0.8891, 0.9061, 0.9169, 0.908, 0.9247, 0.9209, 0.9312, 0.9327, 0.9312, 0.9275, 0.9386, 0.9347, 0.9361, 0.9394, 0.9406, 0.9442, 0.9406, 0.9427, 0.9477, 0.9405, 0.9475, 0.9488, 0.9461, 0.9466, 0.9561, 0.9495, 0.9486, 0.9519, 0.9536, 0.9569, 0.9573, 0.9569, 0.9597, 0.9556, 0.9566, 0.9583, 0.9588, 0.9594, 0.9566, 0.9595, 0.9573, 0.9611, 0.9581, 0.9656, 0.9609, 0.9672, 0.9608, 0.9611, 0.9638, 0.967, 0.9655, 0.9602, 0.963, 0.9627, 0.9623, 0.9606, 0.9666, 0.9677, 0.9638, 0.9655, 0.9681, 0.9656, 0.968, 0.9689, 0.9639, 0.9675, 0.96, 0.9708, 0.9656, 0.9636, 0.9695, 0.9652, 0.9648, 0.967, 0.97, 0.9684, 0.9673, 0.968, 0.97, 0.9659, 0.9614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0019, 0.0336, 0.1506, 0.3619, 0.5364, 0.6533, 0.6806, 0.6878, 0.6836, 0.6812, 0.6945, 0.6941, 0.7138, 0.7341, 0.7558, 0.8, 0.8214, 0.8608, 0.875, 0.8966, 0.9091, 0.9244, 0.9298, 0.9383, 0.9431, 0.9483, 0.9434, 0.9477, 0.9481, 0.9511, 0.9544, 0.9536, 0.9531, 0.9581, 0.9614, 0.963, 0.9614, 0.9609, 0.9619, 0.9653, 0.965, 0.9661, 0.9739, 0.97, 0.9681, 0.9688, 0.9705, 0.9728, 0.9727, 0.9753, 0.9759, 0.9766, 0.9742, 0.9789, 0.9753, 0.9769, 0.9786, 0.9791, 0.9822, 0.98, 0.9836, 0.9811, 0.985, 0.9834, 0.9808, 0.9808, 0.982, 0.9859, 0.9828, 0.9841, 0.9852, 0.9831, 0.983, 0.9828, 0.983, 0.9853, 0.9848, 0.9857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.0222, 0.1283, 0.3594, 0.5588, 0.7116, 0.7992, 0.8533, 0.8748, 0.8961, 0.9067, 0.9231, 0.935, 0.9508, 0.962, 0.9706, 0.98, 0.9812, 0.985, 0.9881, 0.9916, 0.9911, 0.9912, 0.9898, 0.9917, 0.9931, 0.9923, 0.9908, 0.9923, 0.9925, 0.9941, 0.9936, 0.9936, 0.9948, 0.9941, 0.9942, 0.9942, 0.9953, 0.9947, 0.995, 0.9953, 0.9948, 0.9959, 0.9966, 0.9945, 0.9967, 0.9961, 0.9958, 0.9953, 0.9959, 0.9955, 0.9953, 0.9958, 0.9956, 0.9952, 0.9959, 0.9948, 0.9955, 0.9933, 0.9966, 0.9966, 0.9948, 0.9945, 0.9962, 0.9967, 0.9962, 0.9959, 0.9955, 0.9947, 0.997, 0.9969, 0.9961, 0.9962, 0.9967, 0.9962, 0.9958, 0.9969, 0.9955, 0.9981, 0.9964, 0.9972, 0.9973, 0.9991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.0109, 0.0316, 0.0869, 0.1702, 0.2894, 0.4306, 0.5184, 0.5888, 0.6477, 0.6838, 0.7247, 0.7486, 0.758, 0.777, 0.8072, 0.8173, 0.8253, 0.8308, 0.8595, 0.8678, 0.878, 0.8895, 0.8917, 0.897, 0.9017, 0.9028, 0.9067, 0.9128, 0.9166, 0.923, 0.9223, 0.9212, 0.9245, 0.9211, 0.9294, 0.9294, 0.9325, 0.9373, 0.942, 0.9436, 0.9366, 0.9362, 0.943, 0.9436, 0.9428, 0.9473, 0.9436, 0.947, 0.9517, 0.9522, 0.9539, 0.9514, 0.9572, 0.9536, 0.953, 0.9517, 0.9542, 0.9566, 0.9505, 0.9533, 0.9573, 0.9578, 0.9606, 0.9561, 0.9559, 0.9619, 0.9627, 0.9567, 0.9592, 0.9614, 0.9603, 0.9612, 0.9588, 0.9586, 0.9555, 0.9608, 0.9611, 0.9598, 0.9692]"
3,full-ensemble,batch_train_acc-std,"[0.0268, 0.0073, 0.0045, 0.0069, 0.0041, 0.004, 0.0052, 0.0048, 0.005, 0.0061, 0.0057, 0.0073, 0.0061, 0.0054, 0.0066, 0.0067, 0.0074, 0.0059, 0.0055, 0.0052, 0.0057, 0.005, 0.005, 0.0073, 0.0039, 0.0057, 0.0045, 0.0054, 0.0052, 0.0061, 0.0041, 0.0052, 0.0052, 0.005, 0.004, 0.0057, 0.005, 0.0047, 0.0043, 0.0044, 0.004, 0.0049, 0.0041, 0.0037, 0.0067, 0.0039, 0.0045, 0.0047, 0.0043, 0.0041, 0.0039, 0.0057, 0.0034, 0.0036, 0.004, 0.0049, 0.0044, 0.005, 0.0035, 0.004, 0.0033, 0.0043, 0.0036, 0.0041, 0.0055, 0.0041, 0.0065, 0.0038, 0.0038, 0.0034, 0.004, 0.0037, 0.0046, 0.0052, 0.0033, 0.004, 0.0036, 0.004, 0.0035, 0.0043, 0.0038, 0.0034, 0.0034, 0.0043, 0.0041, 0.0029, 0.0039, 0.0044, 0.0049, 0.0038, 0.0029, 0.0037, 0.004, 0.0038, 0.0036, 0.0034, 0.0039, 0.0041, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0477, 0.1465, 0.1364, 0.1098, 0.1162, 0.0912, 0.0783, 0.0639, 0.0562, 0.0405, 0.0313, 0.0308, 0.022, 0.0265, 0.0247, 0.0265, 0.0222, 0.0218, 0.0206, 0.0225, 0.0204, 0.021, 0.017, 0.0218, 0.0198, 0.0222, 0.0186, 0.022, 0.0147, 0.0225, 0.0218, 0.0177, 0.0216, 0.0195, 0.0193, 0.0206, 0.0187, 0.0186, 0.017, 0.0188, 0.0139, 0.0191, 0.0196, 0.0152, 0.0164, 0.0134, 0.019, 0.0179, 0.0164, 0.0196, 0.0195, 0.0145, 0.0171, 0.0126, 0.018, 0.0156, 0.0175, 0.0165, 0.0146, 0.016, 0.0196, 0.0152, 0.0159, 0.0167, 0.0169, 0.0168, 0.017, 0.0157, 0.0172, 0.0127, 0.0146, 0.0169, 0.0133, 0.0135, 0.017, 0.0166, 0.0145, 0.0166, 0.016, 0.016, 0.0132, 0.0148, 0.0167, 0.015, 0.0161, 0.0148, 0.0141, 0.0147, 0.0222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0067, 0.0599, 0.1482, 0.1835, 0.1791, 0.1326, 0.1296, 0.1394, 0.14, 0.1278, 0.1214, 0.1295, 0.1256, 0.1241, 0.1094, 0.1032, 0.0952, 0.0706, 0.0666, 0.053, 0.0414, 0.0379, 0.0333, 0.0276, 0.0242, 0.0209, 0.0216, 0.0197, 0.0246, 0.0179, 0.0153, 0.0214, 0.0221, 0.0205, 0.0186, 0.0147, 0.014, 0.0181, 0.0169, 0.0162, 0.0168, 0.0164, 0.0125, 0.0144, 0.0142, 0.0145, 0.0136, 0.0121, 0.0126, 0.0147, 0.0151, 0.0129, 0.0142, 0.0122, 0.0141, 0.0149, 0.0105, 0.0148, 0.0122, 0.0135, 0.0114, 0.0123, 0.0087, 0.012, 0.0128, 0.0107, 0.0117, 0.0109, 0.0116, 0.011, 0.0098, 0.0127, 0.01, 0.0134, 0.0125, 0.0097, 0.0116, 0.0102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0131, 0.0621, 0.1715, 0.254, 0.268, 0.2189, 0.1786, 0.1626, 0.1453, 0.1295, 0.1322, 0.1134, 0.0926, 0.0736, 0.0656, 0.0457, 0.0316, 0.021, 0.0155, 0.0095, 0.0081, 0.0102, 0.0092, 0.0095, 0.0079, 0.0074, 0.0069, 0.0093, 0.0079, 0.008, 0.0067, 0.0068, 0.0078, 0.0071, 0.0058, 0.0058, 0.0058, 0.0066, 0.0072, 0.006, 0.0054, 0.0066, 0.0052, 0.0057, 0.005, 0.0054, 0.0052, 0.0065, 0.0056, 0.0061, 0.0061, 0.0052, 0.0059, 0.0054, 0.0064, 0.0063, 0.0067, 0.0059, 0.0072, 0.0052, 0.0059, 0.0067, 0.0065, 0.005, 0.0044, 0.005, 0.0059, 0.0057, 0.0076, 0.0047, 0.0044, 0.0055, 0.0057, 0.0047, 0.0061, 0.0052, 0.0044, 0.0059, 0.0033, 0.0055, 0.0049, 0.0051, 0.0061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0107, 0.0483, 0.084, 0.1473, 0.1832, 0.216, 0.2464, 0.2282, 0.2305, 0.215, 0.1979, 0.1749, 0.1623, 0.1555, 0.1364, 0.117, 0.1245, 0.1154, 0.1213, 0.0984, 0.078, 0.083, 0.0799, 0.0784, 0.0783, 0.0842, 0.0685, 0.0578, 0.0522, 0.067, 0.0664, 0.0647, 0.0615, 0.064, 0.0466, 0.0524, 0.0503, 0.0424, 0.0406, 0.0289, 0.0362, 0.0351, 0.0384, 0.0361, 0.0316, 0.0313, 0.0271, 0.0312, 0.0266, 0.0179, 0.02, 0.021, 0.0216, 0.0187, 0.018, 0.0223, 0.026, 0.0188, 0.0198, 0.0202, 0.0183, 0.0161, 0.0218, 0.02, 0.0182, 0.0168, 0.0161, 0.0204, 0.018, 0.016, 0.0171, 0.0151, 0.0164, 0.0196, 0.0207, 0.0169, 0.0177, 0.0172, 0.0165, 0.0298]"
4,full-ensemble,experience_test_acc-mean,"[0.0, 0.0, 0.0, 0.0, 0.962]"
5,full-ensemble,experience_test_acc-std,"[0.0, 0.0, 0.0, 0.0, 0.0044]"
6,full-ensemble,experience_train_acc-mean,"[0.9968, 0.8681, 0.7781, 0.807, 0.7206]"
7,full-ensemble,experience_train_acc-std,"[0.0004, 0.0073, 0.0165, 0.0168, 0.0312]"
8,random_better-accuracy_score-num_gurus-1,batch_test_acc-mean,"[0.0183, 0.5419, 0.5355, 0.5436, 0.5392, 0.5431, 0.5327, 0.532, 0.5383, 0.5372, 0.533, 0.5372, 0.5292, 0.5292, 0.5428, 0.538, 0.5367, 0.0445, 0.0433, 0.0494, 0.0436, 0.0442, 0.0447, 0.0492, 0.0488, 0.0434, 0.0464, 0.0478, 0.0502, 0.0467, 0.0431, 0.043, 0.0451, 0.5975, 0.5988, 0.5997, 0.6014, 0.5914, 0.5972, 0.6003, 0.6053, 0.598, 0.5925, 0.597, 0.6017, 0.5984, 0.6036, 0.6044, 0.3666, 0.3741, 0.3662, 0.3641, 0.3691, 0.3662, 0.3692, 0.3666, 0.3677, 0.3731, 0.3733, 0.3698, 0.3612, 0.3733, 0.372, 0.3676, 0.2681, 0.2658, 0.2686, 0.2736, 0.2628, 0.2669, 0.2633, 0.2669, 0.2623, 0.2627, 0.2608, 0.2702, 0.2688, 0.2625, 0.2672, 0.2765]"
9,random_better-accuracy_score-num_gurus-1,batch_test_acc-std,"[0.0942, 0.349, 0.3466, 0.3504, 0.3499, 0.3519, 0.3489, 0.3477, 0.3461, 0.3537, 0.3505, 0.3468, 0.3479, 0.3485, 0.3501, 0.3489, 0.3434, 0.1352, 0.1274, 0.1354, 0.1282, 0.1381, 0.1348, 0.1352, 0.1399, 0.1308, 0.1329, 0.1357, 0.1442, 0.1249, 0.1374, 0.1275, 0.1325, 0.3894, 0.3905, 0.3862, 0.3897, 0.3887, 0.3871, 0.386, 0.391, 0.3941, 0.3918, 0.3912, 0.3907, 0.3897, 0.3866, 0.3905, 0.3558, 0.3584, 0.3573, 0.3532, 0.3576, 0.3629, 0.3511, 0.3604, 0.3564, 0.3581, 0.3544, 0.3574, 0.3587, 0.356, 0.3559, 0.3531, 0.3736, 0.3749, 0.3732, 0.3742, 0.3779, 0.376, 0.3744, 0.3746, 0.3711, 0.3732, 0.3764, 0.3736, 0.3739, 0.3739, 0.3774, 0.3742]"
