,ensemble_name,0
batch_test_acc-mean,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9805, 0.9648, 0.9805, 0.9727, 0.9531, 0.9336, 0.9727, 0.9648, 0.9727, 0.9922, 0.9805, 0.9727, 0.9805, 0.9609, 0.9766, 0.9762]"
batch_test_acc-std,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0117, 0.0117, 0.0117, 0.0117, 0.0078, 0.0195, 0.0039, 0.0195, 0.0039, 0.0, 0.0039, 0.0195, 0.0039, 0.0078, 0.0156, 0.0238]"
batch_train_acc-mean,full-ensemble,"[0.9961, 0.9961, 1.0, 0.9883, 0.9844, 0.9961, 1.0, 0.9961, 0.9961, 0.9961, 1.0, 0.9961, 0.9961, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 1.0, 0.9961, 1.0, 0.9961, 0.9922, 0.9922, 1.0, 1.0, 1.0, 0.9922, 0.9922, 0.9961, 0.9922, 1.0, 1.0, 0.9922, 1.0, 0.9961, 0.9922, 1.0, 1.0, 1.0, 0.9883, 0.9961, 0.9961, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9961, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9922, 0.9961, 1.0, 1.0, 0.9961, 0.9961, 0.9961, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 0.9961, 0.9961, 0.9961, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 0.9961, 0.9961, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3984, 0.8359, 0.8164, 0.8438, 0.8867, 0.8867, 0.8984, 0.9102, 0.9219, 0.9023, 0.9531, 0.918, 0.9453, 0.9219, 0.9219, 0.9062, 0.9258, 0.9141, 0.957, 0.9297, 0.9492, 0.9375, 0.9531, 0.9297, 0.9492, 0.9688, 0.957, 0.9688, 0.9375, 0.9375, 0.9336, 0.9453, 0.9648, 0.9609, 0.9414, 0.9688, 0.9492, 0.9648, 0.9844, 0.9609, 0.9766, 0.9648, 0.9766, 0.9609, 0.9648, 0.9688, 0.9531, 0.957, 0.9648, 0.9531, 0.9531, 0.9492, 0.9727, 0.9688, 0.9688, 0.9609, 0.9922, 0.9844, 0.957, 0.9688, 0.9922, 0.9688, 0.9531, 0.9648, 0.957, 0.9531, 0.9648, 0.9648, 0.957, 0.9766, 0.9727, 0.9531, 0.9688, 0.9844, 0.9727, 0.9766, 0.9805, 0.9688, 0.9531, 0.9766, 0.9609, 0.9688, 0.9648, 0.9688, 0.9766, 0.9727, 0.9727, 0.957, 0.9492, 0.9737, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0156, 0.2227, 0.6094, 0.6602, 0.6953, 0.6953, 0.7422, 0.7539, 0.6875, 0.7383, 0.7188, 0.707, 0.7656, 0.8125, 0.8672, 0.9102, 0.918, 0.9453, 0.9609, 0.9297, 0.9688, 0.9492, 0.9375, 0.9492, 0.9609, 0.9727, 0.9688, 0.9453, 0.9648, 0.957, 0.9805, 0.9688, 0.9375, 0.9961, 0.9766, 0.9609, 0.9805, 0.9844, 0.9727, 0.9727, 0.9844, 0.9805, 0.9805, 0.9805, 0.9844, 0.9844, 0.9727, 0.9805, 0.9766, 0.9844, 0.9922, 0.9727, 0.9922, 0.9844, 0.9727, 0.9922, 0.9883, 0.9961, 0.9922, 0.9688, 0.9961, 0.9922, 0.9883, 0.9922, 0.9883, 0.9961, 0.9922, 0.9883, 0.9922, 0.9844, 0.9727, 0.9883, 0.9961, 0.9961, 0.9922, 0.9844, 0.9883, 0.9922, 0.9843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.2812, 0.3711, 0.707, 0.9062, 0.9688, 0.9883, 0.9961, 0.9766, 0.9688, 0.9688, 0.9922, 0.9727, 0.9727, 0.9844, 0.9844, 0.9961, 0.9922, 0.9922, 0.9844, 0.9883, 0.9961, 0.9922, 0.9961, 1.0, 0.9961, 0.9961, 0.9922, 0.9922, 0.9883, 0.9961, 0.9922, 0.9961, 0.9961, 0.9961, 0.9883, 0.9961, 0.9961, 0.9961, 1.0, 0.9961, 0.9883, 0.9961, 1.0, 0.9922, 0.9922, 1.0, 1.0, 0.9961, 0.9844, 1.0, 0.9961, 0.9922, 1.0, 0.9961, 1.0, 1.0, 0.9961, 1.0, 1.0, 0.9922, 1.0, 0.9961, 0.9922, 0.9922, 0.9961, 0.9883, 1.0, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 0.9961, 0.9961, 0.9961, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9922, 0.9961, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703, 0.2578, 0.3789, 0.5195, 0.6406, 0.7461, 0.8398, 0.8711, 0.8594, 0.8633, 0.875, 0.8242, 0.8086, 0.8203, 0.832, 0.8281, 0.9141, 0.9258, 0.9492, 0.9414, 0.9297, 0.957, 0.9297, 0.9414, 0.9414, 0.9766, 0.9492, 0.957, 0.9375, 0.9531, 0.9648, 0.9414, 0.9414, 0.957, 0.9414, 0.9102, 0.9375, 0.9648, 0.9453, 0.9336, 0.9727, 0.9805, 0.9414, 0.9609, 0.9727, 0.9492, 0.9805, 0.9492, 0.9688, 0.9727, 0.957, 0.9414, 0.9805, 0.9648, 0.9609, 0.9688, 0.9688, 0.9844, 0.9609, 0.9727, 0.9688, 0.9648, 0.9492, 0.9688, 0.9609, 0.9844, 0.9766, 0.9453, 0.9727, 0.9648, 0.9688, 0.9805, 0.9844, 0.9727, 0.9805, 0.9727, 0.9805, 0.9688, 0.9844, 0.9609, 0.9583]"
batch_train_acc-std,full-ensemble,"[0.0039, 0.0039, 0.0, 0.0039, 0.0078, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0078, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0078, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0039, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1562, 0.0078, 0.082, 0.0703, 0.0039, 0.0039, 0.0, 0.0117, 0.0, 0.0117, 0.0156, 0.0039, 0.0, 0.0234, 0.0156, 0.0391, 0.0039, 0.0156, 0.0117, 0.0078, 0.0039, 0.0, 0.0, 0.0234, 0.0039, 0.0078, 0.0039, 0.0, 0.0078, 0.0078, 0.0039, 0.0, 0.0039, 0.0, 0.0117, 0.0, 0.0039, 0.0117, 0.0078, 0.0, 0.0156, 0.0195, 0.0, 0.0078, 0.0039, 0.0078, 0.0078, 0.0117, 0.0117, 0.0, 0.0, 0.0039, 0.0195, 0.0078, 0.0, 0.0, 0.0, 0.0078, 0.0195, 0.0078, 0.0, 0.0078, 0.0156, 0.0039, 0.0195, 0.0156, 0.0195, 0.0195, 0.0039, 0.0, 0.0039, 0.0078, 0.0078, 0.0078, 0.0117, 0.0, 0.0039, 0.0078, 0.0, 0.0078, 0.0078, 0.0156, 0.0039, 0.0078, 0.0078, 0.0117, 0.0117, 0.0117, 0.0117, 0.0088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0156, 0.0195, 0.1328, 0.1836, 0.1406, 0.125, 0.0312, 0.0195, 0.0156, 0.0195, 0.0625, 0.0195, 0.0234, 0.0312, 0.0547, 0.0273, 0.0273, 0.0, 0.0, 0.0469, 0.0156, 0.0273, 0.0156, 0.0117, 0.0312, 0.0039, 0.0, 0.0391, 0.0117, 0.0195, 0.0039, 0.0156, 0.0156, 0.0039, 0.0156, 0.0078, 0.0039, 0.0078, 0.0039, 0.0039, 0.0078, 0.0039, 0.0039, 0.0039, 0.0078, 0.0078, 0.0039, 0.0039, 0.0156, 0.0078, 0.0078, 0.0117, 0.0, 0.0078, 0.0039, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0039, 0.0078, 0.0078, 0.0117, 0.0117, 0.0039, 0.0039, 0.0, 0.0078, 0.0117, 0.0078, 0.0157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.2812, 0.3242, 0.1055, 0.0078, 0.0234, 0.0117, 0.0039, 0.0, 0.0, 0.0156, 0.0078, 0.0039, 0.0039, 0.0156, 0.0156, 0.0039, 0.0078, 0.0078, 0.0078, 0.0039, 0.0039, 0.0078, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0117, 0.0039, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0078, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703, 0.1875, 0.2148, 0.168, 0.0234, 0.0195, 0.0273, 0.0742, 0.0703, 0.082, 0.0391, 0.0977, 0.1211, 0.0938, 0.1055, 0.0469, 0.0469, 0.0117, 0.0039, 0.0352, 0.0078, 0.0195, 0.0078, 0.0195, 0.0039, 0.0156, 0.0117, 0.0039, 0.0234, 0.0078, 0.0117, 0.0039, 0.0117, 0.0039, 0.0039, 0.0273, 0.0078, 0.0273, 0.0156, 0.0117, 0.0039, 0.0039, 0.0039, 0.0234, 0.0195, 0.0273, 0.0039, 0.0117, 0.0234, 0.0039, 0.0039, 0.0117, 0.0039, 0.0039, 0.0078, 0.0, 0.0156, 0.0078, 0.0078, 0.0117, 0.0, 0.0039, 0.0039, 0.0078, 0.0, 0.0078, 0.0156, 0.0234, 0.0117, 0.0039, 0.0078, 0.0039, 0.0, 0.0039, 0.0117, 0.0039, 0.0117, 0.0078, 0.0078, 0.0312, 0.0417]"
batch_test_acc-mean,max_diversity-accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0312, 0.0352, 0.0195, 0.0273, 0.0352, 0.0391, 0.0273, 0.0469, 0.0273, 0.0391, 0.0312, 0.0391, 0.0117, 0.0156, 0.0391, 0.0287, 0.6719, 0.6562, 0.6289, 0.668, 0.6406, 0.6641, 0.668, 0.6367, 0.6445, 0.6328, 0.6445, 0.6641, 0.6484, 0.6211, 0.6829, 0.6953, 0.7031, 0.7031, 0.6875, 0.707, 0.7031, 0.6836, 0.6797, 0.6875, 0.7148, 0.7109, 0.7344, 0.6836, 0.7188, 0.6758, 0.7197, 0.5586, 0.5039, 0.5664, 0.5508, 0.4648, 0.457, 0.5508, 0.5703, 0.5312, 0.5586, 0.5391, 0.5703, 0.5273, 0.5078, 0.5195, 0.5873]"
batch_test_acc-std,max_diversity-accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0312, 0.0352, 0.0195, 0.0273, 0.0352, 0.0391, 0.0273, 0.0469, 0.0273, 0.0391, 0.0312, 0.0391, 0.0117, 0.0156, 0.0391, 0.0287, 0.0859, 0.1328, 0.1133, 0.1211, 0.1016, 0.1875, 0.082, 0.1523, 0.0977, 0.1172, 0.1055, 0.1641, 0.2188, 0.1055, 0.1341, 0.2734, 0.2656, 0.2734, 0.25, 0.2617, 0.2812, 0.2617, 0.2969, 0.2656, 0.2852, 0.2422, 0.25, 0.2852, 0.2656, 0.293, 0.25, 0.1523, 0.1289, 0.1289, 0.1133, 0.1211, 0.1523, 0.1602, 0.1016, 0.1328, 0.1055, 0.1641, 0.1328, 0.1758, 0.1016, 0.1055, 0.1429]"
batch_train_acc-mean,max_diversity-accuracy_score,"[0.9922, 0.9961, 1.0, 0.9844, 0.9883, 0.9961, 1.0, 0.9961, 0.9961, 1.0, 1.0, 0.9961, 0.9961, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 1.0, 0.9961, 0.9961, 0.9961, 0.9922, 0.9922, 1.0, 1.0, 0.9961, 0.9922, 0.9961, 0.9961, 0.9922, 1.0, 1.0, 0.9922, 0.9961, 1.0, 0.9922, 1.0, 1.0, 1.0, 0.9883, 0.9961, 0.9961, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9961, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9883, 0.9961, 1.0, 1.0, 0.9922, 0.9961, 0.9961, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 0.9922, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.9961, 0.9961, 1.0, 1.0, 0.9922, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0195, 0.1953, 0.4414, 0.6875, 0.3984, 0.8242, 0.8398, 0.4023, 0.4258, 0.8906, 0.9062, 0.8906, 0.9219, 0.8906, 0.918, 0.9062, 0.4922, 0.9062, 0.9492, 0.9297, 0.9531, 0.9336, 0.9375, 0.9219, 0.9414, 0.9727, 0.957, 0.9688, 0.9492, 0.9414, 0.9414, 0.9492, 0.9688, 0.9609, 0.9453, 0.9648, 0.9414, 0.9648, 0.9805, 0.9648, 0.9766, 0.9648, 0.9727, 0.957, 0.9609, 0.9805, 0.9531, 0.957, 0.9531, 0.9531, 0.9648, 0.9531, 0.9766, 0.9688, 0.957, 0.9531, 0.9922, 0.9844, 0.9492, 0.9609, 0.9844, 0.9727, 0.957, 0.9648, 0.9609, 0.9531, 0.9648, 0.9688, 0.9531, 0.9766, 0.9727, 0.957, 0.9727, 0.9805, 0.9727, 0.9727, 0.9805, 0.9609, 0.9531, 0.9727, 0.9609, 0.9688, 0.9688, 0.9688, 0.9688, 0.9727, 0.9727, 0.9609, 0.4805, 0.4912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1719, 0.4648, 0.6094, 0.7305, 0.7305, 0.668, 0.7656, 0.7305, 0.7461, 0.8203, 0.8984, 0.9336, 0.9648, 0.9531, 0.9531, 0.9609, 0.9414, 0.9336, 0.9414, 0.9453, 0.957, 0.9531, 0.9648, 0.9805, 0.9609, 0.9766, 0.9648, 0.9727, 0.9883, 0.9727, 0.957, 0.9766, 0.957, 0.9805, 0.9648, 0.9414, 0.9922, 0.9688, 0.9688, 0.9805, 0.9883, 0.9766, 0.9688, 0.9805, 0.9844, 0.9766, 0.793, 0.9805, 0.9844, 0.9531, 0.9766, 0.9727, 0.9844, 0.9922, 0.9766, 0.9922, 0.9844, 0.9688, 0.9922, 0.9844, 0.9961, 0.9922, 0.9727, 0.9922, 0.9844, 0.9922, 0.9961, 0.9961, 0.582, 0.6484, 0.918, 0.9297, 0.9336, 0.8828, 0.9453, 0.957, 0.9492, 0.9414, 0.9297, 0.9727, 0.9609, 0.9685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0977, 0.3438, 0.4492, 0.4805, 0.4219, 0.3594, 0.3594, 0.332, 0.3906, 0.4375, 0.5859, 0.7891, 0.8047, 0.8008, 0.8945, 0.9219, 0.9648, 0.9922, 0.9961, 0.9883, 0.9727, 0.9844, 0.9922, 0.9805, 0.9961, 1.0, 0.9961, 0.9961, 0.9922, 0.9922, 0.9883, 0.9961, 0.9961, 1.0, 0.9961, 0.9922, 0.9883, 0.9961, 0.9961, 0.9961, 1.0, 0.9961, 0.9922, 0.9961, 1.0, 0.9961, 0.9961, 0.9961, 1.0, 0.9961, 0.9922, 1.0, 0.9961, 0.9961, 1.0, 0.9961, 1.0, 1.0, 0.9922, 1.0, 1.0, 0.9922, 1.0, 0.9961, 0.9922, 0.9922, 1.0, 0.9922, 1.0, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 1.0, 0.9961, 0.9961, 1.0, 0.9961, 1.0, 0.9961, 1.0, 0.9922, 0.9961, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328, 0.3906, 0.4805, 0.4805, 0.543, 0.6289, 0.6641, 0.6719, 0.6602, 0.6836, 0.6836, 0.6836, 0.7227, 0.6836, 0.7227, 0.7461, 0.7305, 0.7227, 0.7578, 0.7656, 0.8359, 0.9023, 0.9258, 0.9414, 0.9492, 0.9023, 0.9414, 0.9297, 0.9336, 0.9375, 0.9727, 0.9414, 0.9648, 0.9258, 0.9297, 0.9844, 0.9375, 0.9648, 0.9453, 0.9375, 0.9336, 0.9297, 0.9648, 0.9336, 0.9336, 0.9688, 0.9688, 0.9375, 0.9609, 0.9648, 0.9727, 0.9883, 0.9531, 0.9727, 0.9727, 0.9648, 0.9453, 0.9766, 0.9688, 0.9727, 0.9766, 0.9805, 0.9727, 0.9688, 0.9805, 0.9688, 0.9766, 0.9609, 0.9609, 0.9531, 0.9844, 0.9805, 0.9531, 0.9688, 0.9766, 0.9805, 0.9844, 0.9805, 0.9727, 0.9844, 0.9727, 0.9805, 0.9688, 0.9922, 0.9805, 0.9583]"
batch_train_acc-std,max_diversity-accuracy_score,"[0.0078, 0.0039, 0.0, 0.0078, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0078, 0.0, 0.0, 0.0, 0.0039, 0.0078, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0195, 0.1875, 0.2148, 0.0703, 0.3984, 0.0898, 0.0742, 0.4023, 0.4258, 0.0078, 0.0156, 0.0391, 0.0234, 0.0312, 0.0039, 0.0469, 0.4531, 0.0234, 0.0195, 0.0078, 0.0156, 0.0117, 0.0234, 0.0156, 0.0039, 0.0039, 0.0039, 0.0078, 0.0039, 0.0039, 0.0039, 0.0039, 0.0078, 0.0, 0.0, 0.0039, 0.0039, 0.0117, 0.0039, 0.0039, 0.0156, 0.0195, 0.0039, 0.0039, 0.0, 0.0039, 0.0078, 0.0039, 0.0078, 0.0, 0.0117, 0.0, 0.0234, 0.0078, 0.0039, 0.0078, 0.0, 0.0078, 0.0195, 0.0078, 0.0, 0.0117, 0.0117, 0.0039, 0.0234, 0.0156, 0.0195, 0.0156, 0.0078, 0.0, 0.0039, 0.0117, 0.0117, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0117, 0.0078, 0.0156, 0.0078, 0.0078, 0.0156, 0.0117, 0.0117, 0.0156, 0.4805, 0.4912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1719, 0.2148, 0.2266, 0.1992, 0.1992, 0.2227, 0.1641, 0.1992, 0.1602, 0.1328, 0.0469, 0.0273, 0.0195, 0.0, 0.0078, 0.0078, 0.0195, 0.0117, 0.0195, 0.0156, 0.0117, 0.0078, 0.0039, 0.0117, 0.0078, 0.0078, 0.0039, 0.0117, 0.0039, 0.0039, 0.0352, 0.0078, 0.0352, 0.0039, 0.0117, 0.0039, 0.0, 0.0156, 0.0078, 0.0117, 0.0039, 0.0, 0.0078, 0.0039, 0.0078, 0.0156, 0.1836, 0.0117, 0.0078, 0.0234, 0.0, 0.0117, 0.0078, 0.0078, 0.0156, 0.0, 0.0078, 0.0078, 0.0, 0.0078, 0.0039, 0.0, 0.0039, 0.0, 0.0078, 0.0, 0.0039, 0.0039, 0.4102, 0.3516, 0.0664, 0.0703, 0.0586, 0.0781, 0.0391, 0.0352, 0.043, 0.0508, 0.0469, 0.0273, 0.0234, 0.0315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0977, 0.3438, 0.4492, 0.4805, 0.4219, 0.3594, 0.3594, 0.3164, 0.2656, 0.1797, 0.0156, 0.0547, 0.1328, 0.082, 0.0977, 0.0781, 0.0352, 0.0078, 0.0039, 0.0117, 0.0117, 0.0, 0.0, 0.0117, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0078, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0078, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703, 0.0234, 0.0508, 0.0508, 0.0117, 0.0977, 0.1484, 0.1562, 0.168, 0.207, 0.2148, 0.2305, 0.207, 0.168, 0.168, 0.1836, 0.1992, 0.1992, 0.1719, 0.2109, 0.125, 0.0508, 0.0039, 0.0039, 0.0273, 0.0195, 0.0039, 0.0078, 0.0273, 0.0078, 0.0039, 0.0117, 0.0039, 0.0195, 0.0312, 0.0, 0.0, 0.0117, 0.0078, 0.0078, 0.0039, 0.0, 0.0195, 0.0273, 0.0117, 0.0, 0.0156, 0.0, 0.0156, 0.0195, 0.0039, 0.0039, 0.0078, 0.0195, 0.0039, 0.0039, 0.0078, 0.0078, 0.0078, 0.0117, 0.0, 0.0117, 0.0117, 0.0078, 0.0039, 0.0, 0.0, 0.0078, 0.0078, 0.0, 0.0078, 0.0039, 0.0312, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0156, 0.0039, 0.0117, 0.0078, 0.0078, 0.0195, 0.0417]"
batch_test_acc-mean,LwF,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9414, 0.9414, 0.9414, 0.9531, 0.9609, 0.957, 0.9844, 0.9453, 0.9805, 0.9141, 0.9688, 0.9844, 0.9883, 0.9922, 1.0, 0.9921]"
batch_test_acc-std,LwF,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0078, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0079]"
