,ensemble_name,0
batch_test_acc-mean,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9818, 0.9792, 0.9792, 0.9609, 0.974, 0.9714, 0.9661, 0.9688, 0.9766, 0.9688, 0.9661, 0.9688, 0.9635, 0.9661, 0.974, 0.9841]"
batch_test_acc-std,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0097, 0.0097, 0.0074, 0.0128, 0.0037, 0.0097, 0.0205, 0.0, 0.0, 0.0064, 0.0074, 0.0064, 0.0133, 0.0037, 0.0097, 0.013]"
batch_train_acc-mean,full-ensemble,"[0.9896, 0.9948, 0.9948, 1.0, 0.9948, 0.9948, 0.9922, 0.9974, 1.0, 0.9922, 0.9974, 0.9974, 1.0, 0.9948, 0.9974, 0.987, 0.9974, 0.9974, 0.9974, 0.9896, 0.9922, 0.9974, 1.0, 0.9974, 0.9922, 0.9974, 0.9922, 0.9948, 0.9948, 0.9974, 1.0, 0.9974, 0.9974, 0.9974, 0.9974, 0.9948, 0.9922, 0.9974, 1.0, 0.9974, 1.0, 0.9922, 1.0, 0.9974, 1.0, 1.0, 0.9974, 1.0, 1.0, 0.9974, 1.0, 0.9974, 0.9974, 0.9974, 1.0, 0.9974, 1.0, 1.0, 0.9974, 0.9974, 1.0, 1.0, 0.9974, 0.9974, 0.9974, 1.0, 1.0, 0.9948, 1.0, 1.0, 1.0, 1.0, 0.9948, 1.0, 0.9922, 0.9974, 0.9974, 0.9974, 0.9922, 0.9974, 1.0, 1.0, 1.0, 0.9974, 1.0, 0.9974, 0.9974, 1.0, 1.0, 0.9922, 0.9948, 0.9974, 0.9974, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0026, 0.2995, 0.7214, 0.8906, 0.8958, 0.9089, 0.9349, 0.9349, 0.9375, 0.8932, 0.9115, 0.9219, 0.9297, 0.8932, 0.9349, 0.9245, 0.9349, 0.9323, 0.9427, 0.9479, 0.9349, 0.9375, 0.9635, 0.9297, 0.9531, 0.9505, 0.9766, 0.9349, 0.9427, 0.9583, 0.9531, 0.9688, 0.9635, 0.9557, 0.9557, 0.9609, 0.9583, 0.9818, 0.9635, 0.9635, 0.9557, 0.9661, 0.9531, 0.9661, 0.9661, 0.9609, 0.9453, 0.9505, 0.9661, 0.9688, 0.9609, 0.9609, 0.9635, 0.9661, 0.9661, 0.9688, 0.9635, 0.9635, 0.9557, 0.9792, 0.9661, 0.9766, 0.9557, 0.9661, 0.9792, 0.9844, 0.9609, 0.9661, 0.9714, 0.9479, 0.9583, 0.9714, 0.9531, 0.9635, 0.9661, 0.9818, 0.9844, 0.9896, 0.974, 0.9714, 0.9505, 0.9818, 0.9635, 0.9766, 0.9635, 0.9714, 0.9661, 0.9661, 0.9766, 0.9844, 0.9766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.138, 0.5078, 0.6484, 0.6354, 0.6146, 0.638, 0.5729, 0.5833, 0.5677, 0.638, 0.6302, 0.6745, 0.75, 0.7917, 0.888, 0.9167, 0.9427, 0.9323, 0.9297, 0.9635, 0.9479, 0.9635, 0.9557, 0.9635, 0.9609, 0.9792, 0.9427, 0.9661, 0.9583, 0.9688, 0.9453, 0.974, 0.974, 0.9661, 0.9844, 0.9635, 0.9818, 0.9688, 0.9661, 0.9792, 0.9792, 0.987, 0.9766, 0.9792, 0.987, 0.9661, 0.9922, 0.9635, 0.9844, 1.0, 0.9844, 0.9844, 0.9922, 0.9818, 0.9766, 0.987, 0.9948, 0.9948, 0.9948, 0.9714, 0.9922, 0.9948, 0.9948, 0.9922, 0.9896, 0.987, 0.9948, 0.987, 0.9818, 0.9766, 0.9948, 0.9818, 0.9896, 0.987, 0.9922, 0.9844, 0.9844, 0.9948, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0495, 0.3958, 0.612, 0.7083, 0.7604, 0.8047, 0.8594, 0.8802, 0.9193, 0.9505, 0.9792, 0.987, 0.9792, 0.9948, 0.9844, 0.9714, 0.987, 0.9974, 0.9922, 0.987, 0.9948, 0.987, 1.0, 1.0, 0.987, 0.9922, 1.0, 0.9948, 1.0, 0.9974, 0.9896, 0.987, 0.9896, 1.0, 1.0, 1.0, 0.9974, 0.9974, 0.9922, 0.9922, 0.9922, 0.9948, 0.9974, 0.9896, 0.9974, 0.9974, 0.9922, 0.9974, 0.9948, 0.9922, 0.9974, 0.9974, 1.0, 1.0, 0.9948, 0.9974, 1.0, 0.9974, 0.9974, 0.9948, 1.0, 0.9948, 0.9974, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9974, 0.9974, 0.9948, 0.9896, 0.9974, 1.0, 0.9974, 0.9948, 0.9974, 0.9974, 1.0, 0.9974, 1.0, 0.9948, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1224, 0.3594, 0.5365, 0.6276, 0.7161, 0.7786, 0.7578, 0.7891, 0.8438, 0.8568, 0.862, 0.9062, 0.9089, 0.9375, 0.9323, 0.9297, 0.9323, 0.9349, 0.9557, 0.9505, 0.9557, 0.9323, 0.9297, 0.9297, 0.9583, 0.9505, 0.9349, 0.9609, 0.9271, 0.9375, 0.9583, 0.9479, 0.9661, 0.9479, 0.9609, 0.9531, 0.9714, 0.9583, 0.9401, 0.9635, 0.9609, 0.9792, 0.9688, 0.9557, 0.9688, 0.9583, 0.9635, 0.9583, 0.9714, 0.9427, 0.9635, 0.9635, 0.9661, 0.9688, 0.9766, 0.974, 0.9714, 0.9609, 0.9661, 0.9609, 0.9844, 0.9766, 0.9766, 0.9583, 0.974, 0.9661, 0.9714, 0.9583, 0.9661, 0.9688, 0.9844, 0.9635, 0.9714, 0.9609, 0.9661, 0.9635, 0.9635, 0.9844, 0.9722]"
batch_train_acc-std,full-ensemble,"[0.0147, 0.0074, 0.0037, 0.0, 0.0074, 0.0037, 0.011, 0.0037, 0.0, 0.0064, 0.0037, 0.0037, 0.0, 0.0074, 0.0037, 0.0184, 0.0037, 0.0037, 0.0037, 0.0097, 0.0, 0.0037, 0.0, 0.0037, 0.0064, 0.0037, 0.0, 0.0074, 0.0074, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.011, 0.0037, 0.0, 0.0037, 0.0, 0.0064, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0037, 0.0, 0.0064, 0.0037, 0.0037, 0.0037, 0.0064, 0.0037, 0.0, 0.0, 0.0, 0.0037, 0.0, 0.0037, 0.0037, 0.0, 0.0, 0.0064, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0037, 0.07, 0.0425, 0.0355, 0.0224, 0.0242, 0.0147, 0.0074, 0.0169, 0.0133, 0.0266, 0.023, 0.011, 0.0161, 0.0184, 0.0097, 0.0097, 0.0184, 0.0205, 0.0161, 0.0097, 0.011, 0.0133, 0.0128, 0.011, 0.0147, 0.0128, 0.0097, 0.0074, 0.0037, 0.0064, 0.0064, 0.0133, 0.0074, 0.0097, 0.0128, 0.0205, 0.0097, 0.0161, 0.0097, 0.0147, 0.0097, 0.0191, 0.0097, 0.0074, 0.0064, 0.0278, 0.0074, 0.0097, 0.0064, 0.0191, 0.0064, 0.0097, 0.0097, 0.0037, 0.0064, 0.0133, 0.0133, 0.0133, 0.0161, 0.0147, 0.0128, 0.0133, 0.0037, 0.0195, 0.011, 0.0064, 0.0074, 0.0097, 0.0133, 0.0037, 0.0133, 0.0169, 0.0097, 0.0037, 0.0074, 0.0064, 0.0037, 0.0074, 0.0133, 0.0133, 0.0074, 0.0037, 0.0, 0.0097, 0.0037, 0.0133, 0.0147, 0.0064, 0.011, 0.0219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0064, 0.0739, 0.1508, 0.0996, 0.041, 0.0861, 0.0315, 0.0321, 0.041, 0.055, 0.0613, 0.0579, 0.1025, 0.0797, 0.0894, 0.0516, 0.0483, 0.0161, 0.0195, 0.0064, 0.0037, 0.0184, 0.0037, 0.0097, 0.0037, 0.0169, 0.0037, 0.0133, 0.0037, 0.0161, 0.0, 0.0169, 0.0074, 0.0184, 0.0147, 0.011, 0.0097, 0.0133, 0.0, 0.0205, 0.0097, 0.0074, 0.0037, 0.0128, 0.0074, 0.0074, 0.0161, 0.0064, 0.0097, 0.011, 0.0, 0.0, 0.0064, 0.011, 0.0097, 0.0064, 0.0097, 0.0074, 0.0074, 0.0074, 0.0037, 0.0064, 0.0037, 0.0074, 0.0064, 0.0037, 0.0074, 0.0037, 0.0074, 0.0037, 0.0064, 0.0074, 0.0037, 0.0037, 0.0097, 0.0064, 0.0064, 0.0064, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0543, 0.1427, 0.1642, 0.1829, 0.1505, 0.1436, 0.1217, 0.0857, 0.0575, 0.039, 0.0161, 0.0097, 0.0037, 0.0074, 0.0064, 0.0097, 0.0037, 0.0037, 0.0064, 0.0097, 0.0074, 0.0074, 0.0, 0.0, 0.0074, 0.0, 0.0, 0.0074, 0.0, 0.0037, 0.0074, 0.0074, 0.0097, 0.0, 0.0, 0.0, 0.0037, 0.0037, 0.0064, 0.0064, 0.0064, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0064, 0.0037, 0.0037, 0.0064, 0.0037, 0.0037, 0.0, 0.0, 0.0074, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0, 0.0074, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0037, 0.0037, 0.0074, 0.0074, 0.0037, 0.0, 0.0037, 0.0074, 0.0037, 0.0037, 0.0, 0.0037, 0.0, 0.0074, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.088, 0.0927, 0.0682, 0.1098, 0.1919, 0.1705, 0.1442, 0.1181, 0.09, 0.0849, 0.0479, 0.0191, 0.0258, 0.0221, 0.0205, 0.011, 0.0097, 0.0184, 0.0205, 0.0133, 0.0161, 0.0315, 0.0169, 0.0169, 0.0266, 0.0074, 0.0037, 0.0169, 0.0133, 0.0064, 0.0258, 0.0037, 0.0037, 0.0147, 0.011, 0.0064, 0.0037, 0.0037, 0.0097, 0.0074, 0.0064, 0.0097, 0.0064, 0.0037, 0.0064, 0.0037, 0.0097, 0.0242, 0.0074, 0.0195, 0.0133, 0.0205, 0.0195, 0.0064, 0.0064, 0.0133, 0.0074, 0.0169, 0.0161, 0.011, 0.0128, 0.011, 0.0169, 0.0161, 0.0161, 0.0205, 0.0161, 0.0037, 0.0133, 0.0255, 0.0169, 0.0184, 0.0074, 0.0169, 0.0097, 0.0097, 0.0074, 0.0064, 0.0196]"
batch_test_acc-mean,max_diversity-accuracy_score,"[0.0, 0.2109, 0.237, 0.2344, 0.2448, 0.2344, 0.2292, 0.25, 0.2422, 0.2214, 0.2266, 0.237, 0.2031, 0.2604, 0.237, 0.2292, 0.209, 0.1719, 0.1901, 0.1615, 0.1589, 0.1484, 0.1562, 0.1615, 0.1953, 0.1432, 0.1667, 0.1641, 0.1641, 0.1589, 0.1641, 0.151, 0.153, 0.4297, 0.4531, 0.4609, 0.4557, 0.4323, 0.4609, 0.4505, 0.4479, 0.4245, 0.4115, 0.4219, 0.4375, 0.4635, 0.4531, 0.4512, 0.6849, 0.625, 0.651, 0.6771, 0.7005, 0.6458, 0.6953, 0.6745, 0.7057, 0.6953, 0.651, 0.6953, 0.6458, 0.6745, 0.7005, 0.6515, 0.3281, 0.3229, 0.3203, 0.3099, 0.3255, 0.3255, 0.3125, 0.3255, 0.3073, 0.3073, 0.3255, 0.3307, 0.3021, 0.3177, 0.3307, 0.328]"
batch_test_acc-std,max_diversity-accuracy_score,"[0.0, 0.2983, 0.3351, 0.3315, 0.3462, 0.3315, 0.3241, 0.3536, 0.3425, 0.313, 0.3204, 0.3351, 0.2873, 0.3683, 0.3351, 0.3241, 0.2955, 0.2431, 0.2688, 0.2283, 0.2247, 0.2099, 0.221, 0.2283, 0.2762, 0.2026, 0.2357, 0.232, 0.232, 0.2247, 0.232, 0.2136, 0.2164, 0.3355, 0.3544, 0.3556, 0.3629, 0.3485, 0.3468, 0.3627, 0.346, 0.3689, 0.34, 0.3786, 0.385, 0.3468, 0.3593, 0.3564, 0.1923, 0.236, 0.2495, 0.2062, 0.1936, 0.2533, 0.232, 0.2326, 0.2218, 0.1981, 0.2365, 0.2086, 0.224, 0.2412, 0.2257, 0.2538, 0.4476, 0.4567, 0.442, 0.4383, 0.4494, 0.4439, 0.4309, 0.4494, 0.4346, 0.4291, 0.4548, 0.4458, 0.4162, 0.4438, 0.4567, 0.4527]"
batch_train_acc-mean,max_diversity-accuracy_score,"[0.9974, 0.9948, 0.9922, 0.9948, 0.9922, 0.9974, 0.9922, 0.9974, 1.0, 0.9948, 1.0, 0.9974, 1.0, 0.9948, 0.9974, 0.9896, 0.9974, 0.9974, 0.9974, 0.9896, 0.9948, 0.9974, 1.0, 0.9974, 0.9922, 0.9974, 0.9922, 0.9948, 0.9948, 0.9974, 1.0, 0.9974, 0.9974, 0.9974, 0.9974, 0.9948, 0.9922, 0.9974, 1.0, 0.9974, 1.0, 0.9922, 1.0, 0.9974, 1.0, 1.0, 0.9974, 1.0, 1.0, 0.9974, 1.0, 0.9974, 0.9974, 0.9974, 1.0, 0.9974, 1.0, 1.0, 0.9974, 0.9948, 0.9974, 0.9974, 0.9974, 0.9974, 0.9974, 1.0, 1.0, 0.9974, 0.9974, 0.9974, 1.0, 0.9974, 0.9948, 0.9974, 0.9922, 0.9974, 0.9974, 0.9974, 0.9948, 0.9974, 1.0, 1.0, 1.0, 0.9974, 0.9974, 0.9974, 0.9974, 0.9922, 1.0, 0.9922, 0.9922, 0.9974, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026, 0.1562, 0.3438, 0.4505, 0.7266, 0.4661, 0.4609, 0.7578, 0.7292, 0.4766, 0.7943, 0.6146, 0.7344, 0.8021, 0.7917, 0.8021, 0.7812, 0.5104, 0.8542, 0.901, 0.9245, 0.651, 0.9193, 0.9349, 0.9401, 0.9401, 0.9245, 0.9375, 0.6354, 0.9453, 0.9583, 0.9688, 0.638, 0.9453, 0.9453, 0.9479, 0.6458, 0.3776, 0.9583, 0.6432, 0.9531, 0.9505, 0.9583, 0.9688, 0.9635, 0.9453, 0.9453, 0.9609, 0.9583, 0.9609, 0.9609, 0.9661, 0.9661, 0.9583, 0.9635, 0.9688, 0.9635, 0.9609, 0.9714, 0.9635, 0.9714, 0.9557, 0.9635, 0.9714, 0.987, 0.9688, 0.9635, 0.9714, 0.9505, 0.9635, 0.9688, 0.9557, 0.9505, 0.9609, 0.9792, 0.9844, 0.9818, 0.9661, 0.9714, 0.9505, 0.9844, 0.9635, 0.9714, 0.9661, 0.9714, 0.9688, 0.6406, 0.6536, 0.6458, 0.7836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1562, 0.3099, 0.4349, 0.5, 0.5703, 0.5443, 0.5286, 0.513, 0.6042, 0.5052, 0.526, 0.5573, 0.6797, 0.7214, 0.8177, 0.8203, 0.8307, 0.6406, 0.9089, 0.9427, 0.9401, 0.9245, 0.9635, 0.9245, 0.9635, 0.9609, 0.9583, 0.9583, 0.9661, 0.9219, 0.974, 0.9557, 0.9583, 0.9401, 0.9714, 0.974, 0.9818, 0.9896, 0.9635, 0.9844, 0.9714, 0.9635, 0.9661, 0.9219, 0.8932, 0.8542, 0.8594, 0.8932, 0.901, 0.9453, 0.9219, 0.8229, 0.9948, 0.974, 0.9349, 0.9896, 0.9609, 0.9714, 0.9792, 0.9792, 0.9818, 0.7865, 0.8906, 0.9505, 0.9688, 0.9766, 0.9635, 0.8464, 0.9167, 0.9714, 0.9714, 0.9609, 0.9427, 0.9792, 0.9401, 0.9453, 0.9427, 0.9609, 0.974, 0.9609, 0.979, 0.0, 0.0, 0.0, 0.0, 0.0521, 0.0938, 0.1745, 0.1979, 0.2057, 0.2552, 0.2682, 0.3177, 0.4531, 0.4818, 0.6641, 0.5026, 0.5052, 0.3177, 0.3125, 0.3594, 0.4141, 0.4661, 0.5182, 0.5182, 0.6146, 0.6589, 0.6901, 0.7188, 0.7266, 0.6719, 0.7109, 0.7344, 0.7396, 0.7578, 0.7552, 0.7995, 0.849, 0.8125, 0.8203, 0.8568, 0.8802, 0.9427, 0.9766, 0.974, 0.9896, 0.9922, 0.9974, 1.0, 0.6797, 0.9974, 0.9844, 0.9922, 0.9974, 0.9844, 0.9974, 0.9948, 0.9948, 0.9948, 0.9922, 0.9974, 0.9948, 0.9948, 0.9974, 0.6641, 1.0, 1.0, 0.8828, 0.9974, 0.9974, 0.737, 0.8125, 0.8333, 0.8281, 0.8385, 0.8568, 0.8594, 0.9115, 0.9349, 0.9479, 0.9714, 0.9818, 0.9844, 0.9948, 0.9974, 0.862, 0.9141, 0.9479, 0.9635, 0.974, 0.9818, 0.9974, 1.0, 0.9948, 0.7161, 0.9948, 0.9855, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1172, 0.1615, 0.2422, 0.2865, 0.2995, 0.3646, 0.4271, 0.4583, 0.4271, 0.487, 0.4948, 0.5495, 0.5911, 0.5625, 0.5885, 0.5573, 0.5807, 0.6667, 0.7057, 0.7552, 0.7708, 0.7656, 0.8021, 0.849, 0.875, 0.8828, 0.8984, 0.8984, 0.9219, 0.9245, 0.9219, 0.9271, 0.9401, 0.9505, 0.9375, 0.9427, 0.9427, 0.9297, 0.9635, 0.9323, 0.9557, 0.9245, 0.9609, 0.9583, 0.9766, 0.9583, 0.9453, 0.9531, 0.9531, 0.9818, 0.9714, 0.9714, 0.9635, 0.9688, 0.9635, 0.9688, 0.974, 0.9531, 0.9661, 0.974, 0.9688, 0.987, 0.9766, 0.9766, 0.974, 0.9661, 0.974, 0.9609, 0.9818, 0.9714, 0.9714, 0.9635, 0.9688, 0.7083, 0.9818, 0.9635, 0.974, 0.9688, 0.8047, 0.7891, 0.8047, 0.8047, 0.8203, 0.8255, 0.7917, 0.7865, 0.7917]"
batch_train_acc-std,max_diversity-accuracy_score,"[0.0037, 0.0037, 0.0, 0.0037, 0.011, 0.0037, 0.011, 0.0037, 0.0, 0.0037, 0.0, 0.0037, 0.0, 0.0074, 0.0037, 0.0147, 0.0037, 0.0037, 0.0037, 0.0097, 0.0037, 0.0037, 0.0, 0.0037, 0.0064, 0.0037, 0.0, 0.0074, 0.0074, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.011, 0.0037, 0.0, 0.0037, 0.0, 0.0064, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0064, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0064, 0.0, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0368, 0.1786, 0.3174, 0.3668, 0.1716, 0.3828, 0.3764, 0.2005, 0.1961, 0.3796, 0.1695, 0.2315, 0.2005, 0.1585, 0.1899, 0.186, 0.2376, 0.3645, 0.1291, 0.0405, 0.0195, 0.4273, 0.0266, 0.0415, 0.0074, 0.0301, 0.0161, 0.0169, 0.4494, 0.0064, 0.0161, 0.0064, 0.4512, 0.0064, 0.011, 0.0242, 0.4569, 0.4283, 0.0097, 0.4549, 0.0128, 0.0288, 0.0161, 0.011, 0.0074, 0.0331, 0.011, 0.0128, 0.0133, 0.0191, 0.0169, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0133, 0.0169, 0.0147, 0.0133, 0.0097, 0.0133, 0.0074, 0.0161, 0.0097, 0.011, 0.0074, 0.0074, 0.0224, 0.0133, 0.0169, 0.0097, 0.0037, 0.0064, 0.0097, 0.0064, 0.0037, 0.0074, 0.0133, 0.0133, 0.0064, 0.0037, 0.0037, 0.0074, 0.0037, 0.011, 0.4532, 0.4622, 0.4567, 0.2937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1073, 0.1882, 0.2442, 0.2074, 0.094, 0.0479, 0.0642, 0.0461, 0.0487, 0.0184, 0.041, 0.0097, 0.1662, 0.1678, 0.1809, 0.1713, 0.1568, 0.453, 0.0487, 0.0161, 0.0161, 0.0037, 0.0074, 0.0133, 0.0097, 0.0064, 0.0195, 0.0037, 0.0147, 0.0191, 0.0074, 0.0147, 0.0074, 0.0195, 0.0037, 0.0161, 0.0037, 0.0097, 0.0097, 0.0128, 0.0037, 0.0184, 0.0195, 0.0829, 0.1234, 0.1678, 0.1715, 0.1401, 0.107, 0.0447, 0.0552, 0.2174, 0.0074, 0.0037, 0.0645, 0.0097, 0.011, 0.0184, 0.0037, 0.0195, 0.0205, 0.2802, 0.1107, 0.0425, 0.0331, 0.011, 0.0147, 0.1789, 0.0739, 0.0224, 0.0133, 0.0278, 0.0327, 0.0195, 0.0385, 0.0418, 0.0405, 0.0169, 0.0037, 0.0278, 0.0074, 0.0, 0.0, 0.0, 0.0, 0.0737, 0.1326, 0.2468, 0.2799, 0.2909, 0.3609, 0.3793, 0.3696, 0.3237, 0.3605, 0.1508, 0.3745, 0.3815, 0.4493, 0.4419, 0.4281, 0.4034, 0.3999, 0.4063, 0.4091, 0.2819, 0.236, 0.2093, 0.1817, 0.1888, 0.2329, 0.1998, 0.199, 0.1869, 0.1883, 0.1893, 0.1973, 0.1615, 0.2324, 0.2432, 0.1971, 0.1639, 0.07, 0.011, 0.0258, 0.0074, 0.0064, 0.0037, 0.0, 0.4419, 0.0037, 0.0064, 0.0064, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0074, 0.0064, 0.0037, 0.0037, 0.0037, 0.0037, 0.4696, 0.0, 0.0, 0.1602, 0.0037, 0.0037, 0.3665, 0.2541, 0.2247, 0.2431, 0.2283, 0.1915, 0.1989, 0.1252, 0.0921, 0.0737, 0.0405, 0.0258, 0.0169, 0.0037, 0.0037, 0.1676, 0.1105, 0.0737, 0.0516, 0.0205, 0.0147, 0.0037, 0.0, 0.0037, 0.3959, 0.0074, 0.0205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1657, 0.2283, 0.3425, 0.4051, 0.418, 0.3858, 0.361, 0.3641, 0.3357, 0.3491, 0.3031, 0.1693, 0.1237, 0.1073, 0.1149, 0.0921, 0.1589, 0.1691, 0.1469, 0.1507, 0.1831, 0.1965, 0.1441, 0.0717, 0.0552, 0.0776, 0.094, 0.0567, 0.023, 0.0288, 0.0319, 0.0288, 0.0195, 0.0205, 0.011, 0.0161, 0.0184, 0.0292, 0.0133, 0.0133, 0.0037, 0.0074, 0.011, 0.0195, 0.0064, 0.0037, 0.0169, 0.0128, 0.0128, 0.0097, 0.0097, 0.0074, 0.0037, 0.0064, 0.0037, 0.0128, 0.0161, 0.0191, 0.0147, 0.0133, 0.0191, 0.0037, 0.0064, 0.0064, 0.0097, 0.0195, 0.0147, 0.011, 0.0097, 0.0037, 0.0097, 0.0133, 0.0064, 0.3631, 0.0097, 0.0037, 0.0097, 0.0128, 0.2707, 0.2434, 0.2432, 0.2434, 0.2265, 0.2137, 0.2504, 0.2854, 0.2657]"
batch_test_acc-mean,LwF,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0104, 0.0078, 0.0052, 0.0078, 0.0104, 0.0078, 0.0052, 0.0078, 0.0078, 0.0104, 0.0, 0.013, 0.0286, 0.0052, 0.0182, 0.0, 0.9505, 0.9427, 0.9531, 0.9505, 0.9688, 0.9609, 0.987, 0.9531, 0.9922, 0.9167, 0.9661, 0.987, 0.9948, 0.987, 0.9974, 1.0]"
batch_test_acc-std,LwF,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0147, 0.011, 0.0074, 0.011, 0.0147, 0.011, 0.0074, 0.011, 0.011, 0.0147, 0.0, 0.0184, 0.0405, 0.0074, 0.0258, 0.0, 0.0074, 0.0074, 0.0, 0.0037, 0.0064, 0.0064, 0.0037, 0.0128, 0.0064, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0]"
